              flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1.000000e+00  100.000000    100.000000     100.000000   100.000000         1.000000        1.000000
5.000000e-01   70.595048     99.101597      64.643703    99.777831         1.416530        1.546941
2.500000e-01   48.762771     98.138313      41.267271    99.480429         2.050745        2.423228
1.250000e-01   32.977046     97.062305      26.038196    99.066741         3.032412        3.840512
6.250000e-02   21.811861     95.836285      16.267483    98.494558         4.584661        6.147232
3.125000e-02   14.168523     94.410368      10.103258    97.709119         7.057899        9.897797
1.562500e-02    9.097858     92.705817       6.261716    96.635293        10.991598       15.970063
7.812500e-03    5.802232     90.622312       3.879879    95.178856        17.234747       25.773998
3.906250e-03    3.682183     88.050700       2.403746    93.224692        27.157806       41.601741
1.953125e-03    2.326096     84.873255       1.488146    90.625548        42.990489       67.197686
9.765625e-04    1.462601     80.958611       0.920031    87.210910        68.371324      108.692011
4.882812e-04    0.915499     76.150863       0.567735    82.796806       109.230058      176.138452
2.441406e-04    0.570836     70.251702       0.349359    77.164962       175.181709      286.238624
1.220703e-04    0.354566     63.040084       0.213718    70.067737       282.034950      467.906583
6.103516e-05    0.218643     54.414613       0.129098    61.334941       457.366938      774.607983
3.051758e-05    0.132690     44.668577       0.076274    51.130726       753.636320     1311.058638
1.525879e-05    0.078341     34.662824       0.043720    40.260339      1276.467928     2287.259672
7.629395e-06    0.044655     25.514499       0.024252    29.988601      2239.400502     4123.310442
3.814697e-06    0.024582     17.993666       0.013063    21.330714      4068.062747     7654.949175
1.907349e-06    0.013145     12.295141       0.006875    14.652397      7607.499996    14545.073127
9.536743e-07    0.006878      8.223163       0.003558     9.820451     14539.933706    28108.387989
4.768372e-07    0.003544      5.427649       0.001820     6.484237     28220.213980    54956.365031
2.384186e-07    0.001807      3.544554       0.000924     4.243997     55338.264764   108275.715053
1.192093e-07    0.000915      2.271105       0.000466     2.738050    109233.637888   214391.521420
5.960464e-08    0.000462      1.409739       0.000235     1.719212    216556.094611   425946.284083
