          flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1          52.167389     98.727385   3.821425e+01    99.714218     1.916906e+00    2.616825e+00
2          34.657885     98.063495   2.426111e+01    99.533162     2.885346e+00    4.121822e+00
4          25.106652     97.252336   1.572308e+01    99.251726     3.983008e+00    6.360077e+00
8          15.868107     96.188706   9.415165e+00    98.806377     6.301949e+00    1.062116e+01
16          9.424376     94.917741   5.562776e+00    98.169378     1.061078e+01    1.797664e+01
32          5.655225     93.436885   3.405490e+00    97.298947     1.768276e+01    2.936435e+01
64          3.544396     91.635364   2.142477e+00    96.093952     2.821355e+01    4.667495e+01
128         2.257926     89.362218   1.345942e+00    94.440126     4.428843e+01    7.429740e+01
256         1.405956     86.491935   8.312932e-01    92.203587     7.112596e+01    1.202945e+02
512         0.873234     82.942475   5.123843e-01    89.268736     1.145169e+02    1.951660e+02
1024        0.536948     78.564045   3.139419e-01    85.360461     1.862376e+02    3.185303e+02
2048        0.326494     73.192353   1.912987e-01    80.288654     3.062844e+02    5.227427e+02
4096        0.200427     66.639051   1.166780e-01    73.915048     4.989336e+02    8.570599e+02
8192        0.123723     58.581686   7.006853e-02    65.884509     8.082553e+02    1.427174e+03
16384       0.075092     48.661529   3.946779e-02    55.793005     1.331706e+03    2.533712e+03
32768       0.041935     37.042885   1.942017e-02    43.700956     2.384622e+03    5.149285e+03
65536       0.019546     25.126956   7.702726e-03    30.413367     5.116087e+03    1.298242e+04
131072      0.006717     15.536323   2.423187e-03    18.967447     1.488753e+04    4.126797e+04
262144      0.001949      9.571705   7.313296e-04    11.622650     5.130120e+04    1.367373e+05
524288      0.000613      5.948176   2.261238e-04     7.216112     1.630956e+05    4.422357e+05
1048576     0.000186      3.710516   6.813517e-05     4.452474     5.379371e+05    1.467671e+06
2097152     0.000057      2.367324   2.126168e-05     2.790177     1.767036e+06    4.703297e+06
4194304     0.000018      1.548019   7.548800e-06     1.830554     5.554238e+06    1.324714e+07
8388608     0.000007      0.967554   3.046132e-06     1.220425     1.339660e+07    3.282852e+07
16777216    0.000003      0.469861   8.998481e-07     0.620299     3.417268e+07    1.111299e+08
