              flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1.000000e+00  100.000000    100.000000     100.000000   100.000000         1.000000        1.000000
5.000000e-01   83.537930     99.381000      70.849573    99.913274         1.197061        1.411441
2.500000e-01   63.324281     98.764515      49.324668    99.811215         1.579173        2.027383
1.250000e-01   46.746153     98.126464      34.566830    99.684143         2.139213        2.892947
6.250000e-02   34.067249     97.406674      24.283936    99.514287         2.935371        4.117949
3.125000e-02   24.565161     96.556577      17.005009    99.281788         4.070806        5.880620
1.562500e-02   17.478932     95.534157      11.820512    98.965310         5.721174        8.459871
7.812500e-03   12.260820     94.292092       8.153755    98.539343         8.156061       12.264288
3.906250e-03    8.508234     92.764485       5.591531    97.966412        11.753320       17.884189
1.953125e-03    5.862144     90.870756       3.814871    97.193467        17.058606       26.213209
9.765625e-04    4.013048     88.531102       2.587695    96.154853        24.918715       38.644434
4.882812e-04    2.727698     85.659741       1.743811    94.771503        36.660954       57.345671
2.441406e-04    1.839982     82.148486       1.167314    92.945772        54.348360       85.666777
1.220703e-04    1.232763     77.870368       0.776295    90.547812        81.118603      128.817062
6.103516e-05    0.820616     72.722275       0.512340    87.416689       121.859736      195.183058
3.051758e-05    0.541755     66.722521       0.334966    83.386619       184.585215      298.537511
1.525879e-05    0.354095     60.052237       0.216679    78.284162       282.410352      461.511558
7.629395e-06    0.229041     52.927643       0.138483    71.908435       436.603877      722.111044
3.814697e-06    0.146451     45.468571       0.087149    64.077499       682.822221     1147.461675
1.907349e-06    0.092199     37.746149       0.053660    54.771163      1084.610131     1863.600411
9.536743e-07    0.056666     29.976791       0.032053    44.405563      1764.722514     3119.833074
4.768372e-07    0.033640     22.655548       0.018459    33.993943      2972.664978     5417.460238
2.384186e-07    0.019187     16.343789       0.010249    24.704513      5211.771514     9757.184802
1.192093e-07    0.010546     11.342170       0.005517    17.229945      9482.161647    18127.418139
5.960464e-08    0.005628      7.638137       0.002900    11.662439     17768.977194    34485.208266
