            flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
64           95.691756     99.283979      62.358888    99.906448         1.045022    1.603621e+00
128          67.662434     98.773848      40.896296    99.831026         1.477925    2.445209e+00
256          43.128917     98.249108      27.979638    99.735598         2.318630    3.574028e+00
512          28.889936     97.647923      19.517930    99.605789         3.461413    5.123494e+00
1024         20.960317     96.918452      13.823469    99.424011         4.770920    7.234074e+00
2048         14.812535     96.000702       9.503984    99.163176         6.751039    1.052190e+01
4096         10.271536     94.877520       6.371983    98.800548         9.735642    1.569370e+01
8192          6.645245     93.513672       4.216843    98.315205        15.048354    2.371442e+01
16384         4.429401     91.849369       2.857079    97.677893        22.576417    3.500079e+01
32768         3.047907     89.744732       1.938521    96.811335        32.809399    5.158571e+01
65536         2.060153     87.090489       1.283859    95.623044        48.540078    7.789017e+01
131072        1.352816     83.878188       0.843997    94.049431        73.919857    1.184839e+02
262144        0.899248     79.977058       0.549221    91.966828       111.204005    1.820759e+02
524288        0.577850     75.202245       0.358387    89.271438       173.055351    2.790280e+02
1048576       0.383167     69.389996       0.232034    85.726718       260.982860    4.309708e+02
2097152       0.246567     62.435677       0.144589    81.068932       405.568722    6.916146e+02
4194304       0.151885     54.781708       0.089124    75.262569       658.391297    1.122037e+03
8388608       0.093877     47.152204       0.054514    68.083701      1065.221202    1.834395e+03
16777216      0.058319     39.534061       0.032213    59.164518      1714.718561    3.104361e+03
33554432      0.034150     31.521741       0.017684    48.387180      2928.261218    5.654918e+03
67108864      0.018887     23.219208       0.008519    36.065236      5294.563667    1.173814e+04
134217728     0.008206     15.279147       0.003153    23.638993     12186.641132    3.171335e+04
268435456     0.002596      9.400087       0.000952    14.384349     38516.570044    1.049987e+05
536870912     0.000790      5.791554       0.000291     8.846564    126629.090284    3.438986e+05
1073741824    0.000247      3.514408       0.000088     5.449636    405223.269127    1.133233e+06
