            flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1         5.216709e+01     99.391268   5.216709e+01    99.895276     1.916917e+00    1.916917e+00
2         3.477260e+01     98.962171   3.477260e+01    99.831861     2.875828e+00    2.875828e+00
4         2.573517e+01     98.567972   2.573517e+01    99.752371     3.885732e+00    3.885732e+00
8         1.669811e+01     97.882991   1.669811e+01    99.584996     5.988703e+00    5.988703e+00
16        9.616071e+00     96.930116   9.616071e+00    99.287590     1.039926e+01    1.039926e+01
32        5.772244e+00     95.730755   5.772244e+00    98.797028     1.732429e+01    1.732429e+01
64        3.530300e+00     94.494578   3.530300e+00    98.093614     2.832620e+01    2.832620e+01
128       2.269720e+00     93.108137   2.269720e+00    97.160807     4.405831e+01    4.405831e+01
256       1.437342e+00     91.274532   1.437342e+00    95.926526     6.957288e+01    6.957288e+01
512       8.621981e-01     88.775287   8.621981e-01    94.223921     1.159826e+02    1.159826e+02
1024      5.225507e-01     85.527010   5.225507e-01    91.819270     1.913690e+02    1.913690e+02
2048      3.328095e-01     81.555551   3.328095e-01    88.497558     3.004722e+02    3.004722e+02
4096      2.129805e-01     76.932726   2.129805e-01    84.149595     4.695265e+02    4.695265e+02
8192      1.289022e-01     71.527249   1.289022e-01    78.753031     7.757821e+02    7.757821e+02
16384     7.143449e-02     64.511329   7.143449e-02    71.983630     1.399884e+03    1.399884e+03
32768     3.580372e-02     54.421212   3.580372e-02    62.486890     2.793006e+03    2.793006e+03
65536     1.614767e-02     41.000254   1.614767e-02    48.783558     6.192845e+03    6.192845e+03
131072    6.533678e-03     27.010850   6.533678e-03    32.833148     1.530532e+04    1.530532e+04
262144    2.366550e-03     16.212448   2.366550e-03    19.743754     4.225561e+04    4.225561e+04
524288    7.659982e-04      9.751012   7.659982e-04    11.874756     1.305486e+05    1.305486e+05
1048576   2.212513e-04      6.227266   2.212513e-04     7.591422     4.519748e+05    4.519748e+05
2097152   5.696336e-05      4.084274   5.696336e-05     4.942627     1.755514e+06    1.755514e+06
4194304   1.306028e-05      2.602972   1.306028e-05     3.122873     7.656805e+06    7.656805e+06
8388608   2.664537e-06      1.564411   2.664537e-06     1.878775     3.752997e+07    3.752997e+07
16777216  4.834205e-07      0.875721   4.834205e-07     1.068572     2.068592e+08    2.068592e+08
