            flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
64           96.484028     99.886562      96.484028    99.989658         1.036441        1.036441
128          65.546474     99.557869      65.546474    99.957584         1.525635        1.525635
256          42.750613     98.996099      42.750613    99.890689         2.339148        2.339148
512          29.144419     98.572838      29.144419    99.819539         3.431189        3.431189
1024         21.022110     98.180881      21.022110    99.743422         4.756896        4.756896
2048         14.846732     97.624874      14.846732    99.626178         6.735489        6.735489
4096          9.969020     96.839273       9.969020    99.438755        10.031076       10.031076
8192          6.660009     95.793910       6.660009    99.156552        15.014994       15.014994
16384         4.508071     94.481330       4.508071    98.756428        22.182438       22.182438
32768         3.043635     92.912770       3.043635    98.216965        32.855449       32.855449
65536         2.031223     91.093513       2.031223    97.513888        49.231424       49.231424
131072        1.351333     88.972355       1.351333    96.607241        74.001007       74.001007
262144        0.897211     86.381749       0.897211    95.421362       111.456485      111.456485
524288        0.586948     83.018861       0.586948    93.825658       170.372973      170.372973
1048576       0.377324     78.532937       0.377324    91.630911       265.024571      265.024571
2097152       0.241508     72.732861       0.241508    88.616620       414.064482      414.064482
4194304       0.153649     65.805918       0.153649    84.593968       650.833269      650.833269
8388608       0.094900     58.327473       0.094900    79.478111      1053.744920     1053.744920
16777216      0.056864     50.869257       0.056864    73.238305      1758.578580     1758.578580
33554432      0.033967     43.354599       0.033967    65.390170      2944.012596     2944.012596
67108864      0.018941     34.999827       0.018941    54.419569      5279.606860     5279.606860
134217728     0.008256     25.569277       0.008256    39.763197     12112.106526    12112.106526
268435456     0.002707     16.508187       0.002707    25.053714     36936.466666    36936.466666
536870912     0.000805      9.768389       0.000805    14.792283    124245.092524   124245.092524
1073741824    0.000234      5.812454       0.000234     9.129319    427817.850780   427817.850780
