          flows_mean    flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1          52.166659  8.887152e-04     99.391396      0.002783      52.166659   8.887152e-04    99.895384     0.000490     1.916933e+00     3.265700e-05    1.916933e+00    3.265700e-05
2          34.657902  1.437091e-03     98.945852      0.004832      34.657902   1.437091e-03    99.827417     0.000809     2.885345e+00     1.196426e-04    2.885345e+00    1.196426e-04
4          25.106417  1.527572e-03     98.530693      0.006760      25.106417   1.527572e-03    99.746608     0.001196     3.983045e+00     2.423481e-04    3.983045e+00    2.423481e-04
8          15.867660  9.364092e-04     97.804671      0.010050      15.867660   9.364092e-04    99.559300     0.002064     6.302126e+00     3.719052e-04    6.302126e+00    3.719052e-04
16          9.424366  1.214974e-03     96.837442      0.014366       9.424366   1.214974e-03    99.217892     0.003634     1.061079e+01     1.368077e-03    1.061079e+01    1.368077e-03
32          5.655649  8.116531e-04     95.740957      0.019346       5.655649   8.116531e-04    98.758134     0.005808     1.768144e+01     2.537754e-03    1.768144e+01    2.537754e-03
64          3.544518  6.272325e-04     94.523294      0.024951       3.544518   6.272325e-04    98.115688     0.008896     2.821258e+01     4.992519e-03    2.821258e+01    4.992519e-03
128         2.257964  3.228265e-04     93.041583      0.031783       2.257964   3.228265e-04    97.221515     0.013204     4.428768e+01     6.331494e-03    4.428768e+01    6.331494e-03
256         1.405942  2.170276e-04     91.073994      0.040533       1.405942   2.170276e-04    95.859729     0.019334     7.112671e+01     1.097873e-02    7.112671e+01    1.097873e-02
512         0.873359  2.828267e-04     88.634957      0.052654       0.873359   2.828267e-04    94.143416     0.027940     1.145005e+02     3.708260e-02    1.145005e+02    3.708260e-02
1024        0.537077  2.279877e-04     85.564429      0.067846       0.537077   2.279877e-04    91.844855     0.039675     1.861930e+02     7.902385e-02    1.861930e+02    7.902385e-02
2048        0.326553  2.795994e-04     81.704182      0.086893       0.326553   2.795994e-04    88.450231     0.056123     3.062288e+02     2.621717e-01    3.062288e+02    2.621717e-01
4096        0.200459  1.633335e-04     77.089630      0.103341       0.200459   1.633335e-04    84.225816     0.073950     4.988544e+02     4.065451e-01    4.988544e+02    4.065451e-01
8192        0.123731  9.966055e-05     71.482026      0.126178       0.123731   9.966055e-05    78.889965     0.094021     8.082066e+02     6.510303e-01    8.082066e+02    6.510303e-01
16384       0.075109  7.891764e-05     64.323316      0.157572       0.075109   7.891764e-05    71.855049     0.123520     1.331397e+03     1.398795e+00    1.331397e+03    1.398795e+00
32768       0.041963  3.176263e-05     54.541605      0.181015       0.041963   3.176263e-05    62.450102     0.163141     2.383074e+03     1.803440e+00    2.383074e+03    1.803440e+00
65536       0.019555  6.974693e-05     41.431285      0.254183       0.019555   6.974693e-05    49.417016     0.235059     5.113711e+03     1.824429e+01    5.113711e+03    1.824429e+01
131072      0.006717  4.331304e-05     26.740325      0.310893       0.006717   4.331304e-05    32.800556     0.292543     1.488890e+04     9.621496e+01    1.488890e+04    9.621496e+01
262144      0.001945  1.143862e-05     16.073238      0.283349       0.001945   1.143862e-05    19.599921     0.258903     5.140476e+04     3.030651e+02    5.140476e+04    3.030651e+02
524288      0.000615  9.654127e-06     10.063983      0.349638       0.000615   9.654127e-06    12.266958     0.320327     1.625854e+05     2.557648e+03    1.625854e+05    2.557648e+03
1048576     0.000185  6.302225e-06      6.192342      0.311800       0.000185   6.302225e-06     7.579402     0.196434     5.405079e+05     1.799058e+04    5.405079e+05    1.799058e+04
2097152     0.000056  4.149276e-06      3.888457      0.349361       0.000056   4.149276e-06     4.677201     0.254247     1.785236e+06     1.369881e+05    1.785236e+06    1.369881e+05
4194304     0.000018  1.470206e-06      2.543480      0.321527       0.000018   1.470206e-06     2.980785     0.190012     5.518892e+06     4.374524e+05    5.518892e+06    4.374524e+05
8388608     0.000007  6.834794e-07      1.786593      0.280289       0.000007   6.834794e-07     2.141537     0.199644     1.346193e+07     1.204068e+06    1.346193e+07    1.204068e+06
16777216    0.000003  5.649230e-07      1.125235      0.316063       0.000003   5.649230e-07     1.459247     0.255715     3.418550e+07     6.406542e+06    3.418550e+07    6.406542e+06
