              flows_mean    flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1.000000e+00  100.000000           NaN    100.000000           NaN     100.000000            NaN   100.000000          NaN         1.000000              NaN        1.000000             NaN
5.000000e-01   70.635824  7.185694e-04     99.103277      0.004096      64.690655       0.000575    99.778454     0.001040         1.415712         0.000014        1.545818        0.000014
2.500000e-01   48.784499  1.340567e-03     98.140266      0.008481      41.288490       0.001209    99.481566     0.002430         2.049831         0.000056        2.421982        0.000071
1.250000e-01   32.956529  1.079291e-03     97.062772      0.013429      26.010197       0.000515    99.067732     0.004364         3.034300         0.000099        3.844646        0.000076
6.250000e-02   21.769900  1.108296e-03     95.831627      0.018873      16.233455       0.000676    98.493508     0.006988         4.593498         0.000234        6.160118        0.000256
3.125000e-02   14.209209  8.189259e-04     94.423666      0.025445      10.139457       0.000630    97.719263     0.010781         7.037689         0.000406        9.862461        0.000613
1.562500e-02    9.109199  6.313879e-04     92.704431      0.033308       6.270190       0.000509    96.635976     0.015862        10.977913         0.000761       15.948480        0.001294
7.812500e-03    5.822669  2.433470e-04     90.653709      0.042561       3.893168       0.000331    95.205551     0.022310        17.174255         0.000718       25.686025        0.002186
3.906250e-03    3.674807  5.080469e-04     88.069173      0.054950       2.398511       0.000257    93.246375     0.032080        27.212313         0.003762       41.692528        0.004471
1.953125e-03    2.348811  1.987758e-04     84.969625      0.068711       1.503402       0.000112    90.715384     0.042909        42.574734         0.003603       66.515789        0.004934
9.765625e-04    1.471265  2.118262e-04     81.120350      0.083681       0.925438       0.000203    87.369815     0.056074        67.968716         0.009787      108.056978        0.023685
4.882812e-04    0.937564  1.614849e-04     76.509141      0.108430       0.581291       0.000091    83.146124     0.079700       106.659408         0.018372      172.030864        0.027069
2.441406e-04    0.584364  1.438913e-04     70.468749      0.128388       0.357717       0.000165    77.386641     0.099382       171.126180         0.042139      279.550311        0.128936
1.220703e-04    0.363976  1.154334e-04     63.487753      0.162741       0.219453       0.000124    70.534745     0.131679       274.743510         0.087148      455.678205        0.256771
6.103516e-05    0.230532  1.203911e-04     55.586213      0.181520       0.136467       0.000070    62.572238     0.159013       433.779019         0.226510      732.778357        0.374943
3.051758e-05    0.138472  8.954001e-05     44.702454      0.218154       0.079977       0.000068    51.160216     0.195723       722.166563         0.466929     1250.355620        1.054642
1.525879e-05    0.082904  1.029001e-04     35.134952      0.236027       0.046519       0.000039    40.834376     0.173293      1206.222074         1.497779     2149.676726        1.799148
7.629395e-06    0.045011  5.857523e-05     25.553986      0.258137       0.024480       0.000056    30.098804     0.227295      2221.671227         2.892497     4085.058014        9.278251
3.814697e-06    0.020679  4.557604e-05     16.308542      0.311041       0.010936       0.000030    19.416883     0.218673      4835.840671        10.677362     9144.219390       25.314741
1.907349e-06    0.012287  2.201828e-05     11.995330      0.315467       0.006415       0.000021    14.349393     0.256220      8138.564253        14.589364    15588.304557       50.615439
9.536743e-07    0.006972  8.526896e-06      8.606927      0.310971       0.003606       0.000013    10.324152     0.234926     14343.097766        17.543415    27733.106613      101.398752
4.768372e-07    0.003733  3.846754e-06      5.828632      0.289936       0.001912       0.000007     6.981804     0.199572     26789.125522        27.603126    52288.707714      195.952792
2.384186e-07    0.001893  2.850964e-06      3.714900      0.304142       0.000963       0.000005     4.465715     0.202347     52839.662331        79.598390   103897.112476      545.204419
1.192093e-07    0.001163  7.754189e-07      2.733018      0.279251       0.000591       0.000005     3.318652     0.191763     85969.758472        57.298670   169085.471180     1502.812354
5.960464e-08    0.000406  1.643974e-06      1.739156      0.257240       0.000204       0.000002     2.129424     0.165412    246586.902952       999.497405   489210.059303     5220.752982
