            flows_mean  flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
64           95.692231    0.000689     99.945204      0.000297      95.692231       0.000689    99.995970     0.000027         1.045017         0.000008        1.045017        0.000008
128          67.661882    0.001016     99.580636      0.002217      67.661882       0.001016    99.957628     0.000278         1.477937         0.000022        1.477937        0.000022
256          43.128813    0.000895     99.052742      0.005016      43.128813       0.000895    99.896999     0.000675         2.318636         0.000048        2.318636        0.000048
512          28.889754    0.001703     98.586335      0.007485      28.889754       0.001703    99.822020     0.001170         3.461435         0.000204        3.461435        0.000204
1024         20.960102    0.000817     98.095497      0.010125      20.960102       0.000817    99.737772     0.001727         4.770969         0.000186        4.770969        0.000186
2048         14.812135    0.000704     97.471278      0.013378      14.812135       0.000704    99.606641     0.002576         6.751221         0.000321        6.751221        0.000321
4096         10.271373    0.001216     96.672799      0.017545      10.271373       0.001216    99.415591     0.003815         9.735796         0.001153        9.735796        0.001153
8192          6.645825    0.000962     95.670667      0.022805       6.645825       0.000962    99.111090     0.005815        15.047040         0.002179       15.047040        0.002179
16384         4.429790    0.000623     94.533049      0.028923       4.429790       0.000623    98.738845     0.008292        22.574434         0.003175       22.574434        0.003175
32768         3.048062    0.000559     93.164608      0.035973       3.048062       0.000559    98.271355     0.011283        32.807733         0.006019       32.807733        0.006019
65536         2.060203    0.000178     91.331488      0.046063       2.060203       0.000178    97.596724     0.015900        48.538902         0.004183       48.538902        0.004183
131072        1.352829    0.000206     88.949098      0.058577       1.352829       0.000206    96.641499     0.022046        73.919199         0.011252       73.919199        0.011252
262144        0.899426    0.000235     86.219011      0.074113       0.899426       0.000235    95.413364     0.030562       111.182012         0.028990      111.182012        0.028990
524288        0.578000    0.000223     82.804421      0.092179       0.578000       0.000223    93.700598     0.042180       173.010472         0.066693      173.010472        0.066693
1048576       0.383265    0.000310     78.603418      0.116627       0.383265       0.000310    91.599986     0.057308       260.916097         0.210930      260.916097        0.210930
2097152       0.246570    0.000185     73.204058      0.142332       0.246570       0.000185    88.625864     0.074538       405.564559         0.303691      405.564559        0.303691
4194304       0.151913    0.000091     65.971897      0.173195       0.151913       0.000091    84.574242     0.097805       658.271461         0.396227      658.271461        0.396227
8388608       0.093895    0.000085     58.027246      0.235086       0.093895       0.000085    79.594607     0.130033      1065.024880         0.963680     1065.024880        0.963680
16777216      0.058334    0.000091     50.862782      0.258876       0.058334       0.000091    73.465784     0.172198      1714.273592         2.682242     1714.273592        2.682242
33554432      0.034168    0.000073     43.301102      0.295121       0.034168       0.000073    65.137634     0.215634      2926.699730         6.261201     2926.699730        6.261201
67108864      0.018897    0.000068     35.255702      0.361521       0.018897       0.000068    54.586902     0.285969      5291.746344        19.027166     5291.746344       19.027166
134217728     0.008197    0.000047     25.487195      0.398442       0.008197       0.000047    39.708856     0.366891     12200.148751        69.785680    12200.148751       69.785680
268435456     0.002587    0.000022     15.944126      0.432316       0.002587       0.000022    24.537190     0.401538     38653.003456       331.573410    38653.003456      331.573410
536870912     0.000791    0.000009      9.901523      0.416049       0.000791       0.000009    15.061766     0.451388    126364.623712      1520.546170   126364.623712     1520.546170
1073741824    0.000245    0.000005      6.140380      0.366046       0.000245       0.000005     9.289715     0.442826    408567.314661      8990.643851   408567.314661     8990.643851
