              flows_mean  flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1.000000e+00  100.000000         NaN    100.000000           NaN     100.000000            NaN   100.000000          NaN         1.000000              NaN        1.000000             NaN
5.000000e-01   88.182277    0.001601     99.749233      0.001326      86.021568       0.001827    99.977300     0.000148         1.134015         0.000021        1.162499        0.000025
2.500000e-01   66.882224    0.000902     99.200124      0.004233      61.922889       0.001031    99.904792     0.000624         1.495166         0.000020        1.614912        0.000027
1.250000e-01   48.585012    0.000897     98.477476      0.008074      42.256561       0.000682    99.769868     0.001513         2.058248         0.000038        2.366496        0.000038
6.250000e-02   34.895382    0.000676     97.669402      0.012332      28.595327       0.000527    99.585898     0.002723         2.865709         0.000056        3.497075        0.000064
3.125000e-02   24.960092    0.000666     96.749741      0.017222      19.384002       0.000628    99.340102     0.004331         4.006396         0.000107        5.158893        0.000167
1.562500e-02   17.667377    0.001013     95.669893      0.022836      13.103547       0.000905    99.010076     0.006473         5.660150         0.000325        7.631522        0.000527
7.812500e-03   12.381049    0.000679     94.397069      0.029413       8.854813       0.000774    98.576952     0.009294         8.076860         0.000443       11.293293        0.000987
3.906250e-03    8.556645    0.000578     92.831824      0.038050       5.947536       0.000487    97.993129     0.013266        11.686823         0.000790       16.813685        0.001377
1.953125e-03    5.890654    0.000796     90.924539      0.047871       4.000871       0.000505    97.215506     0.018179        16.976044         0.002295       24.994557        0.003155
9.765625e-04    4.025434    0.000241     88.572502      0.061052       2.683270       0.000253    96.172517     0.025504        24.842042         0.001489       37.267958        0.003516
4.882812e-04    2.760473    0.000221     85.767543      0.075266       1.809407       0.000160    94.812177     0.034061        36.225673         0.002898       55.266733        0.004891
2.441406e-04    1.861728    0.000226     82.290894      0.095649       1.203305       0.000258    92.999657     0.046286        53.713546         0.006510       83.104434        0.017805
1.220703e-04    1.252104    0.000179     78.056437      0.116975       0.799063       0.000233    90.632349     0.060839        79.865553         0.011388      125.146639        0.036414
6.103516e-05    0.837010    0.000206     72.937459      0.145166       0.527775       0.000186    87.552128     0.079889       119.472904         0.029441      189.474551        0.066825
3.051758e-05    0.551213    0.000158     66.941015      0.194890       0.343987       0.000242    83.565963     0.107733       181.418113         0.052103      290.709115        0.204326
1.525879e-05    0.366015    0.000202     60.453665      0.209774       0.225524       0.000193    78.613980     0.134315       273.213084         0.150748      443.411157        0.378846
7.629395e-06    0.238383    0.000144     53.145651      0.249836       0.144970       0.000092    72.314129     0.167071       419.492552         0.253258      689.799278        0.436637
3.814697e-06    0.153326    0.000133     45.857427      0.275691       0.091937       0.000080    64.762171     0.217010       652.206297         0.566689     1087.698899        0.944228
1.907349e-06    0.094860    0.000112     38.004346      0.317272       0.055743       0.000067    55.188100     0.263017      1054.180771         1.248838     1793.962671        2.153876
9.536743e-07    0.056869    0.000051     30.387442      0.373791       0.032419       0.000045    44.934755     0.310337      1758.427374         1.573333     3084.623266        4.313775
4.768372e-07    0.032932    0.000031     22.612326      0.338333       0.018157       0.000031    33.944337     0.314625      3036.598446         2.839848     5507.585946        9.401111
2.384186e-07    0.018371    0.000031     15.897393      0.359999       0.009824       0.000035    23.864612     0.398001      5443.322668         9.303387    10178.999753       35.759948
1.192093e-07    0.009734    0.000019     10.782028      0.348812       0.005097       0.000015    16.009982     0.405577     10273.564401        20.397874    19618.393138       56.710437
5.960464e-08    0.005689    0.000017      8.050377      0.305204       0.002917       0.000005    12.064059     0.410362     17576.508215        53.870891    34283.869224       56.650309
