            flows_mean    flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1         5.216678e+01  2.652439e-03     98.692602      0.002569   3.839432e+01   2.054184e-03    99.707125     0.000711     1.916929e+00     9.746797e-05    2.604552e+00    1.393513e-04
2         3.477261e+01  2.112836e-03     98.010575      0.003893   2.462186e+01   1.535039e-03    99.522361     0.001156     2.875827e+00     1.747386e-04    4.061431e+00    2.532091e-04
4         2.573521e+01  1.935510e-03     97.170823      0.005531   1.624258e+01   1.074559e-03    99.233490     0.001853     3.885727e+00     2.922413e-04    6.156657e+00    4.073128e-04
8         1.669807e+01  5.016185e-04     96.038346      0.007756   9.724094e+00   6.530828e-04    98.772232     0.002968     5.988716e+00     1.799078e-04    1.028373e+01    6.906497e-04
16        9.616029e+00  9.128207e-04     94.685024      0.010366   5.645305e+00   5.557215e-04    98.101386     0.004570     1.039930e+01     9.872087e-04    1.771384e+01    1.743750e-03
32        5.772400e+00  8.506180e-04     93.135379      0.013274   3.430339e+00   4.277474e-04    97.158472     0.006790     1.732382e+01     2.552720e-03    2.915163e+01    3.634746e-03
64        3.530328e+00  5.800095e-04     91.271014      0.016783   2.143040e+00   3.189542e-04    95.865094     0.009850     2.832598e+01     4.653661e-03    4.666269e+01    6.945170e-03
128       2.269971e+00  3.393541e-04     88.942142      0.021315   1.358235e+00   3.447303e-04    94.157574     0.013998     4.405344e+01     6.586806e-03    7.362494e+01    1.868817e-02
256       1.437403e+00  4.740938e-04     85.951614      0.026970   8.338480e-01   3.698694e-04    91.876641     0.019449     6.956991e+01     2.294869e-02    1.199259e+02    5.320119e-02
512       8.622102e-01  3.775137e-04     82.281052      0.034235   5.049327e-01   3.238603e-04    88.877303     0.026896     1.159810e+02     5.078704e-02    1.980462e+02    1.270436e-01
1024      5.225302e-01  3.711447e-04     77.884805      0.044028   3.143127e-01   2.682024e-04    84.960532     0.037458     1.913766e+02     1.359539e-01    3.181547e+02    2.715152e-01
2048      3.327937e-01  3.394094e-04     72.414677      0.056284   1.984318e-01   1.886903e-04    79.733718     0.051578     3.004866e+02     3.064987e-01    5.039517e+02    4.792666e-01
4096      2.129539e-01  2.378304e-04     65.390883      0.071781   1.208604e-01   1.102675e-04    72.768020     0.070166     4.695855e+02     5.245587e-01    8.274011e+02    7.550632e-01
8192      1.289265e-01  1.471784e-04     56.623068      0.090238   6.837432e-02   7.281105e-05    64.012772     0.092352     7.756361e+02     8.859066e-01    1.462538e+03    1.557645e+00
16384     7.145356e-02  8.376069e-05     46.460237      0.113578   3.527981e-02   5.356197e-05    53.827218     0.119686     1.399511e+03     1.640472e+00    2.834486e+03    4.299654e+00
32768     3.578918e-02  6.267350e-05     35.748063      0.136623   1.647686e-02   5.273739e-05    42.603290     0.148194     2.794145e+03     4.885786e+00    6.069150e+03    1.937006e+01
65536     1.612552e-02  6.942897e-05     25.564905      0.149106   6.944751e-03   3.069417e-05    31.094031     0.168320     6.201410e+03     2.659334e+01    1.439951e+04    6.334190e+01
131072    6.516600e-03  3.244155e-05     16.856364      0.167727   2.633152e-03   1.415849e-05    20.651682     0.196066     1.534562e+04     7.601499e+01    3.797786e+04    2.035126e+02
262144    2.366200e-03  1.387917e-05     10.177007      0.180545   8.986655e-04   7.243602e-06    12.474113     0.215254     4.226261e+04     2.476935e+02    1.112798e+05    8.929982e+02
524288    7.638000e-04  1.500642e-05      5.572001      0.176323   2.724931e-04   6.058189e-06     6.838490     0.211792     1.309505e+05     2.562910e+03    3.670745e+05    8.040430e+03
1048576   2.192000e-04  8.751750e-06      2.756390      0.145738   7.328460e-05   2.406619e-06     3.371033     0.174499     4.565774e+05     1.800820e+04    1.365307e+06    4.480095e+04
2097152   5.560000e-05  2.147038e-06      1.238923      0.146287   1.785393e-05   6.206726e-07     1.494993     0.175552     1.799949e+06     6.929353e+04    5.604593e+06    1.987283e+05
4194304   1.276000e-05  9.641903e-07      0.501857      0.140004   3.973415e-06   3.972100e-07     0.597914     0.168503     7.860210e+06     5.926935e+05    2.528797e+07    2.329477e+06
8388608   2.700000e-06  6.208320e-07      0.166994      0.116617   7.126503e-07   2.614370e-07     0.198557     0.140589     3.812493e+07     9.292687e+06    1.489918e+08    4.668339e+07
16777216  3.200000e-07  3.867141e-07      0.050760      0.075734   1.088515e-07   1.371224e-07     0.061052     0.091812     4.270833e+08     6.228410e+08    1.900928e+09    3.958043e+09
