            flows_mean  flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
64           96.484286    0.001062     99.954542      0.000107      96.484286       0.001062    99.996633     0.000011         1.036438         0.000011        1.036438        0.000011
128          65.546012    0.001037     99.552171      0.000972      65.546012       0.001037    99.951552     0.000156         1.525646         0.000024        1.525646        0.000024
256          42.749885    0.001595     99.045795      0.002080      42.749885       0.001595    99.891804     0.000350         2.339188         0.000087        2.339188        0.000087
512          29.144006    0.001902     98.615339      0.003041      29.144006       0.001902    99.818092     0.000592         3.431237         0.000224        3.431237        0.000224
1024         21.022295    0.001024     98.168466      0.003957      21.022295       0.001024    99.730680     0.000864         4.756855         0.000232        4.756855        0.000232
2048         14.846331    0.000925     97.531840      0.005302      14.846331       0.000925    99.595371     0.001292         6.735671         0.000420        6.735671        0.000420
4096          9.968777    0.001285     96.650647      0.007213       9.968777       0.001285    99.383736     0.001971        10.031321         0.001293       10.031321        0.001293
8192          6.659932    0.000664     95.600187      0.009436       6.659932       0.000664    99.098382     0.002884        15.015169         0.001497       15.015169        0.001497
16384         4.508238    0.000644     94.389622      0.012029       4.508238       0.000644    98.726732     0.004074        22.181615         0.003169       22.181615        0.003169
32768         3.043645    0.000688     92.926301      0.015289       3.043645       0.000688    98.219426     0.005738        32.855339         0.007423       32.855339        0.007423
65536         2.031282    0.000526     91.128127      0.019202       2.031282       0.000526    97.518932     0.008013        49.229993         0.012744       49.229993        0.012744
131072        1.351270    0.000458     88.946638      0.024201       1.351270       0.000458    96.579327     0.011153        74.004459         0.025093       74.004459        0.025093
262144        0.897295    0.000356     86.223702      0.031957       0.897295       0.000356    95.323418     0.016079       111.446020         0.044164      111.446020        0.044164
524288        0.586902    0.000240     82.628476      0.039282       0.586902       0.000240    93.604657     0.021518       170.386357         0.069632      170.386357        0.069632
1048576       0.377340    0.000250     77.929955      0.050794       0.377340       0.000250    91.289023     0.029517       265.013271         0.175980      265.013271        0.175980
2097152       0.241547    0.000179     72.206060      0.059847       0.241547       0.000179    88.293293     0.037452       413.999010         0.306613      413.999010        0.306613
4194304       0.153646    0.000190     65.566484      0.076371       0.153646       0.000190    84.408157     0.051289       650.849217         0.805049      650.849217        0.805049
8388608       0.094882    0.000177     58.030273      0.095502       0.094882       0.000177    79.207469     0.070329      1053.937472         1.963093     1053.937472        1.963093
16777216      0.056847    0.000136     50.086196      0.107985       0.056847       0.000136    72.509636     0.088935      1759.104364         4.217540     1759.104364        4.217540
33554432      0.033953    0.000107     42.418277      0.116401       0.033953       0.000107    64.455258     0.106693      2945.278575         9.261738     2945.278575        9.261738
67108864      0.018907    0.000097     34.330837      0.120863       0.018907       0.000097    53.753429     0.124321      5289.090007        26.990687     5289.090007       26.990687
134217728     0.008236    0.000066     24.715073      0.110544       0.008236       0.000066    38.688853     0.123290     12142.540973        96.694571    12142.540973       96.694571
268435456     0.002707    0.000019     15.430683      0.089236       0.002707       0.000019    23.501975     0.109902     36943.891846       265.791756    36943.891846      265.791756
536870912     0.000801    0.000012      8.716175      0.073924       0.000801       0.000012    13.202312     0.093736    124827.049385      1854.122210   124827.049385     1854.122210
1073741824    0.000230    0.000005      4.429812      0.052373       0.000230       0.000005     7.020608     0.082373    434921.712786      9302.756246   434921.712786     9302.756246
