          flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1          52.167389     99.391275      52.167389    99.895275     1.916906e+00    1.916906e+00
2          34.657885     98.945618      34.657885    99.827232     2.885346e+00    2.885346e+00
4          25.106652     98.530380      25.106652    99.746339     3.983008e+00    3.983008e+00
8          15.868107     97.804225      15.868107    99.558839     6.301949e+00    6.301949e+00
16          9.424376     96.836717       9.424376    99.217042     1.061078e+01    1.061078e+01
32          5.655225     95.739900       5.655225    98.756757     1.768276e+01    1.768276e+01
64          3.544396     94.522181       3.544396    98.113742     2.821355e+01    2.821355e+01
128         2.257926     93.040260       2.257926    97.218681     4.428843e+01    4.428843e+01
256         1.405956     91.072392       1.405956    95.855510     7.112596e+01    7.112596e+01
512         0.873234     88.632280       0.873234    94.136974     1.145169e+02    1.145169e+02
1024        0.536948     85.561328       0.536948    91.836195     1.862376e+02    1.862376e+02
2048        0.326494     81.701814       0.326494    88.439334     3.062844e+02    3.062844e+02
4096        0.200427     77.086593       0.200427    84.210751     4.989336e+02    4.989336e+02
8192        0.123723     71.480161       0.123723    78.871680     8.082553e+02    8.082553e+02
16384       0.075092     64.318528       0.075092    71.827256     1.331706e+03    1.331706e+03
32768       0.041935     54.530370       0.041935    62.409066     2.384622e+03    2.384622e+03
65536       0.019546     41.428885       0.019546    49.375964     5.116087e+03    5.116087e+03
131072      0.006717     26.740611       0.006717    32.757536     1.488753e+04    1.488753e+04
262144      0.001949     16.074640       0.001949    19.546252     5.130120e+04    5.130120e+04
524288      0.000613     10.039129       0.000613    12.189650     1.630956e+05    1.630956e+05
1048576     0.000186      6.191165       0.000186     7.551838     5.379371e+05    5.379371e+05
2097152     0.000057      3.877688       0.000057     4.637329     1.767036e+06    1.767036e+06
4194304     0.000018      2.509039       0.000018     2.894371     5.554238e+06    5.554238e+06
8388608     0.000007      1.764433       0.000007     2.091562     1.339660e+07    1.339660e+07
16777216    0.000003      1.094657       0.000003     1.406853     3.417268e+07    3.417268e+07
