            flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
64           95.691756     99.945173      95.691756    99.995970         1.045022        1.045022
128          67.662434     99.580448      67.662434    99.957625         1.477925        1.477925
256          43.128917     99.052301      43.128917    99.896991         2.318630        2.318630
512          28.889936     98.585685      28.889936    99.822007         3.461413        3.461413
1024         20.960317     98.094635      20.960317    99.737753         4.770920        4.770920
2048         14.812535     97.470137      14.812535    99.606615         6.751039        6.751039
4096         10.271536     96.671248      10.271536    99.415540         9.735642        9.735642
8192          6.645245     95.668441       6.645245    99.110953        15.048354       15.048354
16384         4.429401     94.530376       4.429401    98.738708        22.576417       22.576417
32768         3.047907     93.161483       3.047907    98.271246        32.809399       32.809399
65536         2.060153     91.327683       2.060153    97.596622        48.540078       48.540078
131072        1.352816     88.944236       1.352816    96.641363        73.919857       73.919857
262144        0.899248     86.211808       0.899248    95.412661       111.204005      111.204005
524288        0.577850     82.796580       0.577850    93.699968       173.055351      173.055351
1048576       0.383167     78.595186       0.383167    91.599754       260.982860      260.982860
2097152       0.246567     73.199229       0.246567    88.627512       405.568722      405.568722
4194304       0.151885     65.960383       0.151885    84.574732       658.391297      658.391297
8388608       0.093877     58.025614       0.093877    79.595013      1065.221202     1065.221202
16777216      0.058319     50.858146       0.058319    73.466683      1714.718561     1714.718561
33554432      0.034150     43.301642       0.034150    65.137180      2928.261218     2928.261218
67108864      0.018887     35.246835       0.018887    54.593062      5294.563667     5294.563667
134217728     0.008206     25.489667       0.008206    39.738055     12186.641132    12186.641132
268435456     0.002596     15.954619       0.002596    24.571834     38516.570044    38516.570044
536870912     0.000790      9.886679       0.000790    15.043987    126629.090284   126629.090284
1073741824    0.000247      6.143645       0.000247     9.322927    405223.269127   405223.269127
