              flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1.000000e+00  100.000000    100.000000     100.000000   100.000000         1.000000        1.000000
5.000000e-01   70.676793     99.116785      64.793884    99.783979         1.414892        1.543356
2.500000e-01   49.031563     98.168683      41.525091    99.494984         2.039503        2.408183
1.250000e-01   33.333416     97.099274      26.295253    99.087445         2.999993        3.802968
6.250000e-02   22.124562     95.871856      16.461177    98.513402         4.519864        6.074900
3.125000e-02   14.385756     94.449329      10.227181    97.720995         6.951321        9.777866
1.562500e-02    9.229994     92.758507       6.334797    96.645203        10.834243       15.785826
7.812500e-03    5.879649     90.685170       3.921145    95.194685        17.007819       25.502752
3.906250e-03    3.725396     88.100558       2.425369    93.244251        26.842783       41.230836
1.953125e-03    2.347072     84.886865       1.498995    90.639980        42.606283       66.711357
9.765625e-04    1.472493     80.936204       0.926552    87.212856        67.912056      107.927068
4.882812e-04    0.922427     76.116592       0.572634    82.784126       108.409670      174.631487
2.441406e-04    0.576974     70.227411       0.352552    77.146680       173.318020      283.646033
1.220703e-04    0.358599     63.021178       0.214762    70.050737       278.863360      465.632350
6.103516e-05    0.219691     54.388637       0.128476    61.309229       455.184530      778.352656
3.051758e-05    0.131637     44.653257       0.075039    51.104732       759.663033     1332.639754
1.525879e-05    0.076741     34.674883       0.042660    40.253300      1303.090813     2344.091552
7.629395e-06    0.043440     25.531711       0.023602    29.988874      2302.029191     4236.962133
3.814697e-06    0.023899     18.006253       0.012733    21.338579      4184.295810     7853.420973
1.907349e-06    0.012818     12.324672       0.006723    14.698311      7801.505503    14874.499451
9.536743e-07    0.006731      8.278179       0.003489     9.912981     14856.323323    28664.769032
4.768372e-07    0.003477      5.494867       0.001787     6.595829     28759.040580    55963.187233
2.384186e-07    0.001775      3.632353       0.000907     4.367604     56341.398312   110260.471950
1.192093e-07    0.000899      2.438050       0.000458     2.937588    111279.197721   218524.845914
5.960464e-08    0.000453      1.720438       0.000230     2.078706    220903.022996   434530.621872
