            flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1         5.216709e+01     98.745322   3.839446e+01    99.720996     1.916917e+00    2.604543e+00
2         3.477260e+01     98.099375   2.462182e+01    99.546716     2.875828e+00    4.061438e+00
4         2.573517e+01     97.303223   1.624258e+01    99.274089     3.885732e+00    6.156658e+00
8         1.669811e+01     96.250771   9.724085e+00    98.843236     5.988703e+00    1.028374e+01
16        9.616071e+00     94.948297   5.645154e+00    98.200535     1.039926e+01    1.771431e+01
32        5.772244e+00     93.449209   3.430247e+00    97.297899     1.732429e+01    2.915242e+01
64        3.530300e+00     91.691850   2.142944e+00    96.080833     2.832620e+01    4.666477e+01
128       2.269720e+00     89.467278   1.358133e+00    94.452796     4.405831e+01    7.363047e+01
256       1.437342e+00     86.582727   8.338428e-01    92.255962     6.957288e+01    1.199267e+02
512       8.621981e-01     82.931946   5.049254e-01    89.288003     1.159826e+02    1.980491e+02
1024      5.225507e-01     78.460942   3.143101e-01    85.346406     1.913690e+02    3.181572e+02
2048      3.328095e-01     73.094325   1.984326e-01    80.260072     3.004722e+02    5.039493e+02
4096      2.129805e-01     66.625570   1.208604e-01    73.860384     4.695265e+02    8.274012e+02
8192      1.289022e-01     58.626822   6.836750e-02    65.869828     7.757821e+02    1.462683e+03
16384     7.143449e-02     48.641718   3.528714e-02    55.834034     1.399884e+03    2.833894e+03
32768     3.580372e-02     36.934812   1.649547e-02    43.581821     2.793006e+03    6.062271e+03
65536     1.614767e-02     25.179938   6.956562e-03    30.397134     6.192845e+03    1.437492e+04
131072    6.533678e-03     15.674499   2.639414e-03    19.084435     1.530532e+04    3.788720e+04
262144    2.366550e-03      9.482100   8.989701e-04    11.540827     4.225561e+04    1.112384e+05
524288    7.659982e-04      5.934008   2.743636e-04     7.220494     1.305486e+05    3.644799e+05
1048576   2.212513e-04      3.844984   7.493305e-05     4.662067     4.519748e+05    1.334525e+06
2097152   5.696336e-05      2.484685   1.832058e-05     2.993548     1.755514e+06    5.458342e+06
4194304   1.306028e-05      1.582849   4.067640e-06     1.904877     7.656805e+06    2.458428e+07
8388608   2.664537e-06      1.054840   9.478074e-07     1.278975     3.752997e+07    1.055067e+08
16777216  4.834205e-07      0.875721   4.834221e-07     1.068572     2.068592e+08    2.068586e+08
