,flows_mean,packets_mean,fraction_mean,octets_mean,operations_mean,occupancy_mean
64,96.48402761582948,99.88656197292242,96.48402761582948,99.9896583965818,1.0364409785852853,1.0364409785852853
128,65.54647406518683,99.55786854349262,65.54647406518683,99.95758353197691,1.5256350768852753,1.5256350768852753
256,42.750613389419975,98.99609944555439,42.750613389419975,99.89068922915052,2.3391477237785843,2.3391477237785843
512,29.14441874414545,98.57283793237825,29.14441874414545,99.81953873159154,3.431188690976658,3.431188690976658
1024,21.022110095115732,98.18088106937918,21.022110095115732,99.74342161193682,4.756896407998261,4.756896407998261
2048,14.846732160462983,97.62487367231492,14.846732160462983,99.62617795374813,6.735488922357011,6.735488922357011
4096,9.969020204776413,96.8392728840597,9.969020204776413,99.43875522078869,10.03107606824665,10.03107606824665
8192,6.660009232206354,95.79391043946315,6.660009232206354,99.15655235111777,15.014994200972241,15.014994200972241
16384,4.508070699134381,94.481330370606,4.508070699134381,98.75642831302942,22.182438269923658,22.182438269923658
32768,3.043635132837441,92.91276981509768,3.043635132837441,98.21696453748075,32.855449367472175,32.855449367472175
65536,2.0312230038433743,91.09351257451328,2.0312230038433743,97.51388805882215,49.23142353684712,49.23142353684712
131072,1.3513329623734194,88.97235522793396,1.3513329623734194,96.60724103667916,74.00100699413457,74.00100699413457
262144,0.8972111406056915,86.38174899657504,0.8972111406056915,95.42136183286894,111.45648496126759,111.45648496126759
524288,0.5869475567101379,83.01886061272788,0.5869475567101379,93.82565820702789,170.3729726050886,170.3729726050886
1048576,0.37732350468497877,78.53293745219972,0.37732350468497877,91.63091071901144,265.02457111302505,265.02457111302505
2097152,0.2415082778228661,72.73286072054984,0.2415082778228661,88.61661993057271,414.06448218451897,414.06448218451897
4194304,0.15364918295097674,65.80591820096937,0.15364918295097674,84.59396779773381,650.8332688752791,650.8332688752791
8388608,0.09489962709534616,58.32747275794059,0.09489962709534616,79.47811144911857,1053.744920404476,1053.744920404476
16777216,0.05686410670169284,50.869257351927864,0.05686410670169284,73.23830516743324,1758.5785797110395,1758.5785797110395
33554432,0.03396724597859446,43.354598836102255,0.03396724597859446,65.39016978459848,2944.012595634576,2944.012595634576
67108864,0.018940804239120368,34.99982743215922,0.018940804239120368,54.41956926761904,5279.606860275755,5279.606860275755
134217728,0.008256202154544034,25.569276668293007,0.008256202154544034,39.76319735171252,12112.106526481086,12112.106526481086
268435456,0.0027073515424524963,16.508186993948215,0.0027073515424524963,25.053713635384167,36936.46666565268,36936.46666565268
536870912,0.000804860763259363,9.7683885641759,0.000804860763259363,14.792282990442363,124245.09252387972,124245.09252387972
1073741824,0.0002337443372635306,5.812453713192944,0.0002337443372635306,9.129318536819575,427817.85077966144,427817.85077966144
