              flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
1.000000e+00  100.000000    100.000000     100.000000   100.000000         1.000000        1.000000
5.000000e-01   88.089935     99.703826      86.858791    99.957021         1.135203        1.151294
2.500000e-01   65.491192     99.006509      60.479783    99.844027         1.526923        1.653445
1.250000e-01   47.847607     98.299557      40.862429    99.707871         2.089969        2.447236
6.250000e-02   34.633395     97.544772      27.594241    99.534784         2.887387        3.623945
3.125000e-02   24.828972     96.665171      18.685421    99.300847         4.027553        5.351766
1.562500e-02   17.586676     95.597771      12.663838    98.979425         5.686123        7.896500
7.812500e-03   12.312169     94.295989       8.578676    98.541700         8.122046       11.656811
3.906250e-03    8.538107     92.719137       5.803902    97.954403        11.712199       17.229787
1.953125e-03    5.874910     90.815756       3.918242    97.175015        17.021538       25.521652
9.765625e-04    4.014687     88.505364       2.637358    96.144665        24.908542       37.916730
4.882812e-04    2.726349     85.668390       1.768371    94.780323        36.679091       56.549219
2.441406e-04    1.839910     82.158078       1.179768    92.969701        54.350491       84.762406
1.220703e-04    1.233023     77.842437       0.782165    90.572936        81.101502      127.850245
6.103516e-05    0.819963     72.664492       0.514819    87.432602       121.956777      194.242844
3.051758e-05    0.540904     66.684106       0.336052    83.386837       184.875618      297.573241
1.525879e-05    0.353646     60.058931       0.217175    78.272003       282.768723      460.457279
7.629395e-06    0.228767     52.961971       0.138640    71.907226       437.126244      721.294835
3.814697e-06    0.146174     45.510787       0.087146    64.108368       684.116938     1147.495382
1.907349e-06    0.091965     37.815564       0.053622    54.854924      1087.374779     1864.902576
9.536743e-07    0.056508     30.138358       0.032031    44.610138      1769.664105     3121.938356
4.768372e-07    0.033555     22.978803       0.018466    34.435295      2980.175493     5415.401274
2.384186e-07    0.019155     16.936327       0.010285    25.591930      5220.698632     9722.685158
1.192093e-07    0.010548     12.434142       0.005587    18.937060      9480.104503    17897.338954
5.960464e-08    0.005672      9.490277       0.003012    14.576255     17629.590101    33195.542827
