            flows_mean  packets_mean  fraction_mean  octets_mean  operations_mean  occupancy_mean
64           96.484028     99.279364      63.098219    99.906043         1.036441        1.584831
128          65.546474     98.785613      40.820938    99.833339         1.525635        2.449723
256          42.750613     98.258069      27.943387    99.736476         2.339148        3.578664
512          29.144419     97.721058      19.526986    99.614252         3.431189        5.121118
1024         21.022110     97.034136      13.823949    99.440734         4.756896        7.233823
2048         14.846732     96.116137       9.437860    99.185178         6.735489       10.595622
4096          9.969020     94.934460       6.318200    98.820291        10.031076       15.827291
8192          6.660009     93.470153       4.250908    98.317919        15.014994       23.524386
16384         4.508071     91.705565       2.867703    97.645764        22.182438       34.871111
32768         3.043635     89.603560       1.919713    96.761503        32.855449       52.091109
65536         2.031223     87.078175       1.275977    95.602489        49.231424       78.371288
131072        1.351333     83.972181       0.844774    94.073238        74.001007      118.374844
262144        0.897211     80.069513       0.553959    92.036741       111.456485      180.518857
524288        0.586948     75.167328       0.357715    89.317736       170.372973      279.552213
1048576       0.377324     69.196613       0.228463    85.722993       265.024571      437.707013
2097152       0.241508     62.319760       0.144756    81.072896       414.064482      690.817927
4194304       0.153649     54.898580       0.089920    75.221042       650.833269     1112.095292
8388608       0.094900     47.283922       0.054145    68.021930      1053.744920     1846.889855
16777216      0.056864     39.554321       0.031740    59.228869      1758.578580     3150.586631
33554432      0.033967     31.534677       0.017715    48.513234      2944.012596     5644.788276
67108864      0.018941     23.312238       0.008514    36.164592      5279.606860    11745.456226
134217728     0.008256     15.743530       0.003203    24.172090     12112.106526    31216.017130
268435456     0.002707     10.048793       0.001021    15.313618     36936.466666    97909.267663
536870912     0.000805      6.813523       0.000365    10.561275    124245.092524   273712.736573
1073741824    0.000234      5.812454       0.000234     9.129319    427817.850780   427817.850678
