          flows_mean    flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1          52.166659  8.887152e-04     98.727656      0.005819   3.821384e+01   8.722356e-04    99.714521     0.001340     1.916933e+00     3.265700e-05    2.616853e+00    5.973021e-05
2          34.657902  1.437091e-03     98.063917      0.008855   2.426103e+01   1.055913e-03    99.533657     0.002190     2.885345e+00     1.196426e-04    4.121837e+00    1.793970e-04
4          25.106417  1.527572e-03     97.252933      0.012558   1.572296e+01   7.020368e-04    99.252518     0.003513     3.983045e+00     2.423481e-04    6.360126e+00    2.839809e-04
8          15.867660  9.364092e-04     96.189542      0.017385   9.415125e+00   7.949973e-04    98.807641     0.005598     6.302126e+00     3.719052e-04    1.062121e+01    8.968973e-04
16          9.424366  1.214974e-03     94.918877      0.023195   5.563035e+00   6.857436e-04    98.171318     0.008609     1.061079e+01     1.368077e-03    1.797580e+01    2.216105e-03
32          5.655649  8.116531e-04     93.438259      0.029987   3.405701e+00   4.093211e-04    97.301757     0.012737     1.768144e+01     2.537754e-03    2.936253e+01    3.529147e-03
64          3.544518  6.272325e-04     91.636993      0.038245   2.142556e+00   2.723919e-04    96.097951     0.018407     2.821258e+01     4.992519e-03    4.667323e+01    5.933387e-03
128         2.257964  3.228265e-04     89.364262      0.048767   1.346005e+00   7.164833e-05    94.445806     0.026175     4.428768e+01     6.331494e-03    7.429394e+01    3.954713e-03
256         1.405942  2.170276e-04     86.494560      0.062057   8.313908e-01   1.291498e-04    92.211551     0.036697     7.112671e+01     1.097873e-02    1.202804e+02    1.868416e-02
512         0.873359  2.828267e-04     82.945550      0.078422   5.125036e-01   2.204473e-04    89.279434     0.050400     1.145005e+02     3.708260e-02    1.951206e+02    8.392277e-02
1024        0.537077  2.279877e-04     78.566963      0.097646   3.140112e-01   2.050828e-04    85.374210     0.067850     1.861930e+02     7.902385e-02    3.184601e+02    2.080014e-01
2048        0.326553  2.795994e-04     73.195001      0.119175   1.913195e-01   1.458219e-04    80.306236     0.088766     3.062288e+02     2.621717e-01    5.226861e+02    3.984584e-01
4096        0.200459  1.633335e-04     66.642666      0.144730   1.166990e-01   8.203898e-05    73.938443     0.114495     4.988544e+02     4.065451e-01    8.569053e+02    6.024931e-01
8192        0.123731  9.966055e-05     58.585537      0.177074   7.007982e-02   6.365651e-05    65.914030     0.147644     8.082066e+02     6.510303e-01    1.426945e+03    1.296369e+00
16384       0.075109  7.891764e-05     48.666047      0.215242   3.948056e-02   5.276753e-05    55.829904     0.187771     1.331397e+03     1.398795e+00    2.532894e+03    3.385832e+00
32768       0.041963  3.176263e-05     37.046495      0.255370   1.942938e-02   5.028385e-05    43.743766     0.231697     2.383074e+03     1.803440e+00    5.146863e+03    1.333049e+01
65536       0.019555  6.974693e-05     25.125225      0.295745   7.700760e-03   3.779383e-05    30.456344     0.265079     5.113711e+03     1.824429e+01    1.298589e+04    6.380529e+01
131072      0.006717  4.331304e-05     15.539337      0.313242   2.420687e-03   1.865106e-05    19.019202     0.271168     1.488890e+04     9.621496e+01    4.131187e+04    3.189377e+02
262144      0.001945  1.143862e-05      9.584682      0.315166   7.313382e-04   6.324922e-06    11.685155     0.247081     5.140476e+04     3.030651e+02    1.367409e+05    1.177363e+03
524288      0.000615  9.654127e-06      5.960682      0.317191   2.262505e-04   4.808614e-06     7.266404     0.229902     1.625854e+05     2.557648e+03    4.420898e+05    9.235888e+03
1048576     0.000185  6.302225e-06      3.722641      0.296719   6.775640e-05   2.238872e-06     4.492308     0.192305     5.405079e+05     1.799058e+04    1.476712e+06    4.880566e+04
2097152     0.000056  4.149276e-06      2.389533      0.280736   2.119575e-05   1.348565e-06     2.842415     0.183035     1.785236e+06     1.369881e+05    4.727944e+06    3.037591e+05
4194304     0.000018  1.470206e-06      1.573413      0.258205   7.583051e-06   4.939039e-07     1.879133     0.182237     5.518892e+06     4.374524e+05    1.321653e+07    8.655709e+05
8388608     0.000007  6.834794e-07      0.990428      0.242930   3.074514e-06   3.597440e-07     1.254393     0.205950     1.346193e+07     1.204068e+06    3.274981e+07    3.696163e+06
16777216    0.000003  5.649230e-07      0.489377      0.213634   9.268160e-07   2.885945e-07     0.630762     0.213561     3.418550e+07     6.406542e+06    1.141074e+08    3.931208e+07
