            flows_mean  flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
64           95.692231    0.000689     99.284305      0.003792      62.358669       0.000677    99.906455     0.000614         1.045017         0.000008    1.603626e+00        0.000017
128          67.661882    0.001016     98.774407      0.006494      40.895930       0.000708    99.831038     0.001109         1.477937         0.000022    2.445231e+00        0.000042
256          43.128813    0.000895     98.249912      0.009277      27.979509       0.000907    99.735619     0.001736         2.318636         0.000048    3.574044e+00        0.000116
512          28.889754    0.001703     97.649000      0.012456      19.517745       0.000868    99.605820     0.002588         3.461435         0.000204    5.123543e+00        0.000228
1024         20.960102    0.000817     96.919868      0.016296      13.823293       0.000645    99.424057     0.003777         4.770969         0.000186    7.234166e+00        0.000338
2048         14.812135    0.000704     96.002567      0.021103       9.503949       0.000900    99.163246     0.005481         6.751221         0.000321    1.052194e+01        0.000997
4096         10.271373    0.001216     94.879932      0.027035       6.372218       0.000772    98.800653     0.007866         9.735796         0.001153    1.569312e+01        0.001901
8192          6.645825    0.000962     93.516669      0.034260       4.217141       0.000510    98.315331     0.011060        15.047040         0.002179    2.371275e+01        0.002871
16384         4.429790    0.000623     91.852966      0.043098       2.857225       0.000380    97.678016     0.015262        22.574434         0.003175    3.499899e+01        0.004650
32768         3.048062    0.000559     89.749126      0.054346       1.938593       0.000221    96.811478     0.020984        32.807733         0.006019    5.158382e+01        0.005888
65536         2.060203    0.000178     87.095935      0.068643       1.283924       0.000084    95.623246     0.028854        48.538902         0.004183    7.788625e+01        0.005124
131072        1.352829    0.000206     83.884843      0.086022       0.844101       0.000133    94.049737     0.039304        73.919199         0.011252    1.184692e+02        0.018702
262144        0.899426    0.000235     79.984605      0.106996       0.549350       0.000226    91.967107     0.053050       111.182012         0.028990    1.820334e+02        0.075040
524288        0.578000    0.000223     75.209705      0.131982       0.358471       0.000214    89.271253     0.070281       173.010472         0.066693    2.789630e+02        0.166883
1048576       0.383265    0.000310     69.396790      0.161932       0.232074       0.000182    85.725897     0.091880       260.916097         0.210930    4.308971e+02        0.337561
2097152       0.246570    0.000185     62.441822      0.196182       0.144608       0.000107    81.067786     0.119003       405.564559         0.303691    6.915234e+02        0.511578
4194304       0.151913    0.000091     54.785957      0.238230       0.089140       0.000073    75.261095     0.153811       658.271461         0.396227    1.121835e+03        0.919081
8388608       0.093895    0.000085     47.155331      0.278032       0.054531       0.000059    68.082058     0.196045      1065.024880         0.963680    1.833827e+03        1.973350
16777216      0.058334    0.000091     39.538005      0.313199       0.032225       0.000048    59.161026     0.245252      1714.273592         2.682242    3.103162e+03        4.660074
33554432      0.034168    0.000073     31.526442      0.355169       0.017692       0.000055    48.379968     0.305469      2926.699730         6.261201    5.652282e+03       17.679401
67108864      0.018897    0.000068     23.225356      0.391986       0.008517       0.000041    36.050606     0.368141      5291.746344        19.027166    1.174080e+04       56.409643
134217728     0.008197    0.000047     15.285246      0.403410       0.003151       0.000023    23.628755     0.414738     12200.148751        69.785680    3.174072e+04      231.889240
268435456     0.002587    0.000022      9.407335      0.374487       0.000952       0.000008    14.386190     0.431110     38653.003456       331.573410    1.050518e+05      854.448552
536870912     0.000791    0.000009      5.797237      0.336307       0.000291       0.000005     8.851539     0.452598    126364.623712      1520.546170    3.435169e+05     6144.970778
1073741824    0.000245    0.000005      3.506627      0.274060       0.000088       0.000003     5.447584     0.424945    408567.314661      8990.643851    1.140394e+06    34442.115270
