            flows_mean    flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1         5.216678e+01  2.652439e-03     99.374630      0.001246   5.216678e+01   2.652439e-03    99.891890     0.000266     1.916929e+00     9.746797e-05    1.916929e+00    9.746797e-05
2         3.477261e+01  2.112836e-03     98.919808      0.002123   3.477261e+01   2.112836e-03    99.824345     0.000428     2.875827e+00     1.747386e-04    2.875827e+00    1.747386e-04
4         2.573521e+01  1.935510e-03     98.516669      0.002905   2.573521e+01   1.935510e-03    99.742769     0.000625     3.885727e+00     2.922413e-04    3.885727e+00    2.922413e-04
8         1.669807e+01  5.016185e-04     97.784827      0.004335   1.669807e+01   5.016185e-04    99.561611     0.001067     5.988716e+00     1.799078e-04    5.988716e+00    1.799078e-04
16        9.616029e+00  9.128207e-04     96.696540      0.006567   9.616029e+00   9.128207e-04    99.221413     0.001925     1.039930e+01     9.872087e-04    1.039930e+01    9.872087e-04
32        5.772400e+00  8.506180e-04     95.550362      0.008797   5.772400e+00   8.506180e-04    98.750245     0.003062     1.732382e+01     2.552720e-03    1.732382e+01    2.552720e-03
64        3.530328e+00  5.800095e-04     94.224961      0.011173   3.530328e+00   5.800095e-04    97.990502     0.004788     2.832598e+01     4.653661e-03    2.832598e+01    4.653661e-03
128       2.269971e+00  3.393541e-04     92.740868      0.013825   2.269971e+00   3.393541e-04    96.987380     0.007056     4.405344e+01     6.586806e-03    4.405344e+01    6.586806e-03
256       1.437403e+00  4.740938e-04     90.762513      0.017755   1.437403e+00   4.740938e-04    95.649288     0.010335     6.956991e+01     2.294869e-02    6.956991e+01    2.294869e-02
512       8.622102e-01  3.775137e-04     88.052582      0.021806   8.622102e-01   3.775137e-04    93.794599     0.013970     1.159810e+02     5.078704e-02    1.159810e+02    5.078704e-02
1024      5.225302e-01  3.711447e-04     84.880312      0.028031   5.225302e-01   3.711447e-04    91.437701     0.019703     1.913766e+02     1.359539e-01    1.913766e+02    1.359539e-01
2048      3.327937e-01  3.394094e-04     81.325398      0.037644   3.327937e-01   3.394094e-04    88.450087     0.029188     3.004866e+02     3.064987e-01    3.004866e+02    3.064987e-01
4096      2.129539e-01  2.378304e-04     76.794784      0.043311   2.129539e-01   2.378304e-04    84.161647     0.036612     4.695855e+02     5.245587e-01    4.695855e+02    5.245587e-01
8192      1.289265e-01  1.471784e-04     70.431358      0.061520   1.289265e-01   1.471784e-04    77.776657     0.057943     7.756361e+02     8.859066e-01    7.756361e+02    8.859066e-01
16384     7.145356e-02  8.376069e-05     61.765886      0.073048   7.145356e-02   8.376069e-05    69.372158     0.073081     1.399511e+03     1.640472e+00    1.399511e+03    1.640472e+00
32768     3.578918e-02  6.267350e-05     51.080428      0.112744   3.578918e-02   6.267350e-05    59.271041     0.115286     2.794145e+03     4.885786e+00    2.794145e+03    4.885786e+00
65536     1.612552e-02  6.942897e-05     39.381483      0.137323   1.612552e-02   6.942897e-05    47.286090     0.145495     6.201410e+03     2.659334e+01    6.201410e+03    2.659334e+01
131072    6.516600e-03  3.244155e-05     28.023395      0.146335   6.516600e-03   3.244155e-05    34.270592     0.163264     1.534562e+04     7.601499e+01    1.534562e+04    7.601499e+01
262144    2.366200e-03  1.387917e-05     18.286578      0.165976   2.366200e-03   1.387917e-05    22.405710     0.193565     4.226261e+04     2.476935e+02    4.226261e+04    2.476935e+02
524288    7.638000e-04  1.500642e-05     10.807403      0.242853   7.638000e-04   1.500642e-05    13.255322     0.291029     1.309505e+05     2.562910e+03    1.309505e+05    2.562910e+03
1048576   2.192000e-04  8.751750e-06      5.761388      0.216562   2.192000e-04   8.751750e-06     7.090822     0.263150     4.565774e+05     1.800820e+04    4.565774e+05    1.800820e+04
2097152   5.560000e-05  2.147038e-06      2.763314      0.156849   5.560000e-05   2.147038e-06     3.367891     0.187911     1.799949e+06     6.929353e+04    1.799949e+06    6.929353e+04
4194304   1.276000e-05  9.641903e-07      1.201530      0.178134   1.276000e-05   9.641903e-07     1.438448     0.214220     7.860210e+06     5.926935e+05    7.860210e+06    5.926935e+05
8388608   2.700000e-06  6.208320e-07      0.463121      0.178081   2.700000e-06   6.208320e-07     0.549157     0.213683     3.812493e+07     9.292687e+06    3.812493e+07    9.292687e+06
16777216  3.200000e-07  3.867141e-07      0.120916      0.159969   3.200000e-07   3.867141e-07     0.144422     0.192155     4.270833e+08     6.228410e+08    4.270833e+08    6.228410e+08
