              flows_mean    flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1.000000e+00  100.000000           NaN    100.000000           NaN     100.000000            NaN   100.000000          NaN         1.000000              NaN        1.000000             NaN
5.000000e-01   70.717965  1.131721e-03     99.077511      0.001805      64.841155       0.000903    99.772808     0.000545         1.414068         0.000023        1.542230        0.000021
2.500000e-01   49.054472  1.912007e-03     98.078463      0.003732      41.548075       0.001614    99.466992     0.001263         2.038550         0.000079        2.406850        0.000093
1.250000e-01   33.323654  1.497920e-03     96.950231      0.005983      26.277495       0.000936    99.036325     0.002343         3.000871         0.000135        3.805538        0.000136
6.250000e-02   22.087302  7.439546e-04     95.655783      0.008451      16.431292       0.000391    98.429103     0.003772         4.527488         0.000152        6.085949        0.000145
3.125000e-02   14.431374  9.297351e-04     94.182665      0.011152      10.267947       0.000323    97.605944     0.005667         6.929347         0.000446        9.739045        0.000306
1.562500e-02    9.231499  6.841443e-04     92.392361      0.014710       6.335760       0.000693    96.462329     0.008482        10.832477         0.000803       15.783425        0.001727
7.812500e-03    5.900182  5.450966e-04     90.267315      0.018884       3.934397       0.000389    94.974179     0.012217        16.948628         0.001566       25.416854        0.002512
3.906250e-03    3.719670  5.135779e-04     87.598783      0.023046       2.421254       0.000432    92.959499     0.016249        26.884106         0.003712       41.300921        0.007362
1.953125e-03    2.369128  5.575159e-04     84.414261      0.030259       1.513626       0.000291    90.371227     0.023242        42.209620         0.009934       66.066513        0.012685
9.765625e-04    1.479970  3.462828e-04     80.458753      0.038751       0.931169       0.000220    86.926515     0.032581        67.568921         0.015810      107.391897        0.025409
4.882812e-04    0.944441  2.948783e-04     75.684541      0.050118       0.586228       0.000268    82.515004     0.044889       105.882756         0.033068      170.582091        0.078043
2.441406e-04    0.590618  2.389339e-04     69.333643      0.063062       0.361069       0.000196    76.410869     0.060602       169.314288         0.068497      276.955343        0.150064
1.220703e-04    0.368221  1.891650e-04     62.061559      0.075935       0.220627       0.000122    69.255012     0.076187       271.575838         0.139527      453.254479        0.250264
6.103516e-05    0.231926  1.631629e-04     54.076538      0.108609       0.135933       0.000111    61.209557     0.112727       431.171416         0.303390      735.655820        0.599718
3.051758e-05    0.137365  1.150119e-04     43.664167      0.137299       0.078662       0.000081    50.296470     0.148953       727.987213         0.609336     1271.260340        1.309231
1.525879e-05    0.081341  4.746159e-05     34.741405      0.142335       0.045510       0.000040    40.635540     0.159465      1229.387088         0.717290     2197.337736        1.947948
7.629395e-06    0.043797  5.461328e-05     25.647391      0.168608       0.023820       0.000031    30.390003     0.196107      2283.267423         2.846501     4198.141971        5.426038
3.814697e-06    0.020021  3.966428e-05     16.373869      0.139493       0.010610       0.000013    19.605406     0.163959      4994.850499         9.891900     9425.161735       11.327607
1.907349e-06    0.011901  2.094415e-05     11.813323      0.150807       0.006226       0.000016    14.214758     0.176965      8402.358085        14.778546    16061.447162       41.839022
9.536743e-07    0.006817  1.525494e-05      8.242533      0.161397       0.003531       0.000016     9.954491     0.191276     14669.118268        32.767904    28322.646004      125.320011
4.768372e-07    0.003668  6.115999e-06      5.138164      0.176049       0.001879       0.000003     6.210838     0.211100     27264.934114        45.421247    53215.320331       94.873571
2.384186e-07    0.001867  1.855447e-06      2.915877      0.167564       0.000950       0.000003     3.525289     0.200349     53574.517452        53.277705   105285.384636      374.126521
1.192093e-07    0.001160  1.066675e-06      1.920222      0.130827       0.000589       0.000005     2.320379     0.154850     86232.209329        79.259868   169697.621896     1495.344103
5.960464e-08    0.000401  8.557579e-07      0.881251      0.156859       0.000203       0.000003     1.062772     0.188331    249439.352895       532.767553   492435.725235     7018.923810
