              flows_mean  flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
1.000000e+00  100.000000         NaN    100.000000           NaN     100.000000            NaN   100.000000          NaN         1.000000              NaN        1.000000             NaN
5.000000e-01   89.146620    0.001149     99.793967      0.000446      87.521772       0.001143    99.980272     0.000064         1.121748         0.000014        1.142573        0.000015
2.500000e-01   66.949908    0.000879     99.241333      0.001651      62.016615       0.000934    99.901245     0.000318         1.493654         0.000020        1.612471        0.000024
1.250000e-01   48.597411    0.002660     98.507954      0.003241      42.068741       0.002399    99.759312     0.000775         2.057723         0.000113        2.377062        0.000136
6.250000e-02   34.955364    0.001316     97.682681      0.005004      28.491805       0.000885    99.568771     0.001390         2.860791         0.000108        3.509781        0.000109
3.125000e-02   24.967876    0.001087     96.731317      0.007060      19.301948       0.001114    99.316990     0.002203         4.005146         0.000174        5.180824        0.000299
1.562500e-02   17.650955    0.000764     95.611377      0.009500      13.054407       0.000846    98.981456     0.003285         5.665416         0.000245        7.660248        0.000496
7.812500e-03   12.370616    0.001019     94.298167      0.012281       8.830992       0.000893    98.539884     0.004690         8.083672         0.000666       11.323757        0.001145
3.906250e-03    8.557965    0.000681     92.701546      0.015763       5.934651       0.000469    97.941278     0.006620        11.685021         0.000930       16.850190        0.001331
1.953125e-03    5.886745    0.001043     90.776104      0.020182       3.988952       0.000503    97.144839     0.009254        16.987317         0.003011       25.069240        0.003160
9.765625e-04    4.021334    0.000511     88.417776      0.025894       2.677156       0.000439    96.084480     0.012920        24.867367         0.003157       37.353073        0.006119
4.882812e-04    2.755463    0.000481     85.550779      0.032760       1.805792       0.000438    94.695121     0.017805        36.291548         0.006335       55.377365        0.013422
2.441406e-04    1.859271    0.000312     81.978854      0.039957       1.201531       0.000298    92.843763     0.023120        53.784521         0.009025       83.227152        0.020631
1.220703e-04    1.251441    0.000225     77.654242      0.048719       0.797739       0.000225    90.433042     0.030361        79.907892         0.014360      125.354341        0.035291
6.103516e-05    0.836010    0.000319     72.602383      0.058144       0.527881       0.000162    87.356825     0.038851       119.615866         0.045623      189.436585        0.058290
3.051758e-05    0.547186    0.000251     66.492133      0.072272       0.342100       0.000202    83.224218     0.051355       182.753374         0.083900      292.311951        0.172526
1.525879e-05    0.362783    0.000238     59.761405      0.083100       0.223194       0.000144    77.991062     0.064196       275.647240         0.180977      448.039895        0.288749
7.629395e-06    0.240488    0.000160     52.922635      0.090775       0.145857       0.000137    71.797635     0.073583       415.821363         0.276098      685.603343        0.642714
3.814697e-06    0.151743    0.000179     45.518047      0.092178       0.091233       0.000142    64.186102     0.077348       659.010501         0.778070     1096.094111        1.708159
1.907349e-06    0.095020    0.000097     37.005608      0.104351       0.055750       0.000073    53.805787     0.108738      1052.414349         1.069295     1793.707802        2.336924
9.536743e-07    0.055412    0.000089     29.323472      0.095048       0.031692       0.000061    43.638501     0.096575      1804.653917         2.884261     3155.339161        6.115738
4.768372e-07    0.031478    0.000083     21.351158      0.095648       0.017309       0.000056    32.174355     0.110805      3176.867750         8.398560     5777.404146       18.657697
2.384186e-07    0.017728    0.000071     14.723059      0.058911       0.009501       0.000037    22.363920     0.068091      5640.727002        22.699210    10524.924155       40.900644
1.192093e-07    0.010065    0.000042      9.353258      0.092550       0.005278       0.000025    14.243141     0.124932      9935.607054        41.199091    18946.224064       89.298460
5.960464e-08    0.005704    0.000022      6.840550      0.062914       0.002944       0.000016    10.503498     0.087291     17531.995947        66.675581    33966.282823      188.818281
