            flows_mean  flows_conf  packets_mean  packets_conf  fraction_mean  fraction_conf  octets_mean  octets_conf  operations_mean  operations_conf  occupancy_mean  occupancy_conf
64           96.484286    0.001062     99.299015      0.001526      63.097794       0.001333    99.904236     0.000309         1.036438         0.000011    1.584841e+00        0.000033
128          65.546012    0.001037     98.787132      0.002637      40.820353       0.001213    99.826013     0.000561         1.525646         0.000024    2.449758e+00        0.000073
256          42.749885    0.001595     98.269844      0.003758      27.942936       0.001159    99.728048     0.000876         2.339188         0.000087    3.578722e+00        0.000148
512          29.144006    0.001902     97.682535      0.005018      19.526791       0.001134    99.594816     0.001303         3.431237         0.000224    5.121169e+00        0.000297
1024         21.022295    0.001024     96.940494      0.006594      13.823777       0.000710    99.408571     0.001897         4.756855         0.000232    7.233913e+00        0.000371
2048         14.846331    0.000925     95.972326      0.008679       9.437609       0.000845    99.140412     0.002760         6.735671         0.000420    1.059590e+01        0.000948
4096          9.968777    0.001285     94.785344      0.011253       6.318115       0.000779    98.772759     0.003948        10.031321         0.001293    1.582751e+01        0.001951
8192          6.659932    0.000664     93.373261      0.014341       4.250955       0.000557    98.282020     0.005544        15.015169         0.001497    2.352413e+01        0.003081
16384         4.508238    0.000644     91.666088      0.018100       2.867757       0.000600    97.621509     0.007694        22.181615         0.003169    3.487045e+01        0.007294
32768         3.043645    0.000688     89.565029      0.022890       1.919689       0.000499    96.727088     0.010660        32.855339         0.007423    5.209178e+01        0.013550
65536         2.031282    0.000526     86.970470      0.028807       1.275955       0.000347    95.527005     0.014630        49.229993         0.012744    7.837268e+01        0.021307
131072        1.351270    0.000458     83.743412      0.036205       0.844749       0.000290    93.929147     0.019902        74.004459         0.025093    1.183784e+02        0.040617
262144        0.897295    0.000356     79.689235      0.045390       0.553941       0.000231    91.803776     0.026812       111.446020         0.044164    1.805245e+02        0.075226
524288        0.586902    0.000240     74.660837      0.055752       0.357700       0.000185    89.000415     0.035276       170.386357         0.069632    2.795636e+02        0.144564
1048576       0.377340    0.000250     68.681227      0.068229       0.228475       0.000193    85.368565     0.046110       265.013271         0.175980    4.376850e+02        0.370443
2097152       0.241547    0.000179     61.889160      0.080771       0.144752       0.000157    80.713565     0.058836       413.999010         0.306613    6.908395e+02        0.750189
4194304       0.153646    0.000190     54.436037      0.095732       0.089913       0.000161    74.765372     0.075024       650.849217         0.805049    1.112190e+03        1.986899
8388608       0.094882    0.000177     46.573381      0.104300       0.054120       0.000126    67.297852     0.089167      1053.937472         1.963093    1.847740e+03        4.302922
16777216      0.056847    0.000136     38.636193      0.108740       0.031720       0.000100    58.238746     0.101338      1759.104364         4.217540    3.152637e+03        9.905338
33554432      0.033953    0.000107     30.606242      0.107671       0.017689       0.000082    47.408309     0.108198      2945.278575         9.261738    5.653281e+03       26.245439
67108864      0.018907    0.000097     22.268979      0.092723       0.008484       0.000055    34.767812     0.098531      5289.090007        26.990687    1.178726e+04       76.110266
134217728     0.008236    0.000066     14.361567      0.071509       0.003175       0.000021    22.148951     0.083305     12142.540973        96.694571    3.149908e+04      204.466100
268435456     0.002707    0.000019      8.283495      0.057985       0.000979       0.000010    12.629519     0.074673     36943.891846       265.791756    1.021070e+05     1063.650837
536870912     0.000801    0.000012      4.349960      0.041504       0.000285       0.000004     6.766204     0.061331    124827.049385      1854.122210    3.504498e+05     5524.752729
1073741824    0.000230    0.000005      2.059410      0.044713       0.000079       0.000001     3.325671     0.068781    434921.712786      9302.756246    1.273242e+06    19407.102208
