bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
1,2,1928791082,1928791082,288893177504
2,3,706049181,1412098362,187701333435
3,4,224853456,674560368,104555704130
4,5,160288215,641152860,118594521909
5,6,123664539,618322695,118483739159
6,7,121112137,726672822,142486415575
7,8,66169165,463184155,121198085953
8,9,61587122,492696976,135067212496
9,10,47534187,427807683,121387901425
10,11,48305155,483051550,135489927641
11,12,32960393,362564323,111918360091
12,13,39614849,475378188,128451996513
13,14,24696538,321054994,108157720949
14,15,24728637,346200918,117940181270
15,16,22367368,335510520,109691117486
16,17,19628365,314053840,109839209662
17,18,15445250,262569250,90767361440
18,19,17315640,311681520,103373395982
19,20,11944579,226947001,80266420080
20,21,14005453,280109060,92755766480
21,22,11422909,239881089,85209883178
22,23,10373358,228213876,85627423334
23,24,8703605,200182915,75853967051
24,25,10577810,253867440,88678913366
25,26,8018559,200463975,75089181641
26,27,7359092,191336392,71816066678
27,28,6899493,186286311,69898687714
28,29,6765111,189423108,72464794193
29,30,5998887,173967723,68225063832
30,31,6708017,201240510,73986146384
31,32,5177614,160506034,67173994686
32,33,5271024,168672768,68546612757
33,34,4814664,158883912,64425482097
34,35,4443203,151068902,62832854005
35,36,4275719,149650165,61177427585
36,37,4691577,168896772,66133196263
37,38,3624256,134097472,57300093073
38,39,3539534,134502292,58418815600
39,40,3372608,131531712,56976387179
40,41,3613208,144528320,64050656586
41,42,3023380,123958580,56956505960
42,43,3401411,142859262,61404365650
43,44,2843705,122279315,56098460262
44,45,2893363,127307972,58732734825
45,46,2843965,127978425,59782306315
46,47,2620558,120545668,57580057598
47,48,2430611,114238717,54431781284
48,49,2676735,128483280,58915898096
49,50,2298369,112620081,55069471516
50,51,2345163,117258150,55525271220
51,52,2124843,108366993,51619900486
52,53,2098213,109107076,53073811356
53,54,1948329,103261437,50271622811
54,55,2077138,112165452,54464868989
55,56,1907855,104932025,49816931360
56,57,1942389,108773784,52304797071
57,58,1765867,100654419,48683323543
58,59,1748118,101390844,50420654321
59,60,1647052,97176068,47895698158
60,61,1827049,109622940,50894106564
61,62,1617935,98694035,47878239657
62,63,1542299,95622538,47662991874
63,64,1536073,96772599,49465852743
64,65,1581360,101207040,53547671310
65,66,1453103,94451695,48153122838
66,67,1451381,95791146,46996239910
67,68,1310907,87830769,44029965041
68,69,1305412,88768016,44539794841
69,70,1254348,86550012,43902899494
70,71,1298543,90898010,45410420682
71,72,1201952,85338592,44024335159
72,73,1265028,91082016,45362935301
73,74,1150303,83972119,42581350953
74,75,1134305,83938570,43299157267
75,76,1138895,85417125,44982550864
76,77,1096208,83311808,43132919013
77,78,1073803,82682831,43888348745
78,79,1101373,85907094,45695988575
79,80,1033930,81680470,44656615963
80,81,1031354,82508320,42246149301
81,82,995341,80622621,42784536656
82,83,956124,78402168,41195662687
83,84,935216,77622928,41239155219
84,85,1022915,85924860,44679161359
85,86,923409,78489765,42226194303
86,87,880182,75695652,40225362034
87,88,864735,75231945,40682136740
88,89,865778,76188464,40834121179
89,90,827380,73636820,39285372305
90,91,874664,78719760,40289847387
91,92,802698,73045518,38539883824
92,93,789921,72672732,38024395309
93,94,786714,73164402,40281322853
94,95,762563,71680922,38759521014
95,96,754757,71701915,38161970860
96,97,781762,75049152,39214300414
97,98,716915,69540755,36853334384
98,99,731277,71665146,37155726613
99,100,699291,69229809,36284881632
100,101,702911,70291100,36510855379
101,102,665154,67180554,35096293806
102,103,679127,69270954,35818798936
103,104,645989,66536867,34962192339
104,105,654291,68046264,35374013129
105,106,647250,67961250,35151569689
106,107,629641,66741946,34956441725
107,108,608323,65090561,34399773443
108,109,632003,68256324,35253857755
109,110,590538,64368642,33789704517
110,111,612537,67379070,36289876653
111,112,578581,64222491,34248739509
112,113,616132,69006784,35881913012
113,114,558329,63091177,33667157128
114,115,570554,65043156,34029556546
115,116,546808,62882920,33159050200
116,117,549765,63772740,34961047848
117,118,526619,61614423,32969756904
118,119,518159,61142762,32884826943
119,120,506990,60331810,32658645376
120,121,653803,78456360,46088826797
121,122,505920,61216320,32369438263
122,123,505148,61628056,32518162622
123,124,498046,61259658,32222045099
124,125,487131,60404244,32564279159
125,126,476172,59521500,32109669810
126,127,509660,64217160,34278088783
127,128,459679,58379233,31899642378
128,129,467583,59850624,33368748979
129,130,449335,57964215,32126949547
130,131,453315,58930950,32606470275
131,132,436840,57226040,31750021783
132,133,448643,59220876,32873584978
133,134,429473,57119909,32055645415
134,135,422847,56661498,31634210492
135,136,418330,56474550,31239255440
136,137,416092,56588512,31443523290
137,138,404661,55438557,31048295587
138,139,412134,56874492,31843953964
139,140,392870,54608930,30465059928
140,141,423253,59255420,32202236980
141,142,389391,54904131,30410840165
142,143,384154,54549868,30171960302
143,144,376653,53861379,30037506604
144,145,395453,56945232,30371439199
145,146,375157,54397765,29797478918
146,147,368712,53831952,29706793786
147,148,362344,53264568,29385246068
148,149,362532,53654736,29855789037
149,150,353243,52633207,29286882969
150,151,372052,55807800,30308501089
151,152,348882,52681182,29506991093
152,153,350453,53268856,30022533331
153,154,345039,52790967,29924140527
154,155,366493,56439922,32118529565
155,156,345573,53563815,30581421091
156,157,346811,54102516,31205959014
157,158,330847,51942979,30007152103
158,159,328321,51874718,30224193524
159,160,322031,51202929,29505451821
160,161,326928,52308480,29820168981
161,162,323644,52106684,29576998189
162,163,325521,52734402,29842857127
163,164,312825,50990475,29319907392
164,165,321710,52760440,29886794834
165,166,312626,51583290,29994698305
166,167,303441,50371206,29026316197
167,168,307831,51407777,31012687776
168,169,334702,56229936,31291645221
169,170,295320,49909080,28659811355
170,171,306174,52049580,31591049518
171,172,292182,49963122,29175470210
172,173,292660,50337520,29803006129
173,174,285473,49386829,29156171887
174,175,288470,50193780,29373926204
175,176,285894,50031450,29709187648
176,177,282835,49778960,29299535522
177,178,273742,48452334,28264814665
178,179,274407,48844446,28949319417
179,180,270991,48507389,28854256851
180,181,287235,51702300,29185987935
181,182,267124,48349444,28326301522
182,183,278399,50668618,29220708048
