bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
64,65,173724618,173724618,11118375552
65,66,66065,66065,4294225
66,67,28961155,28961155,1911436230
67,68,8621557,8621557,577644319
68,69,118775939,118775939,8076763852
69,70,4711225,4711225,325074525
70,71,79188610,79188610,5543202700
71,72,956072,956072,67881112
72,73,2595235,2595235,186856920
73,74,1581781,1581781,115470013
74,75,23569990,23569990,1744179260
75,76,3114804,3114804,233610300
76,77,2107061,2107061,160136636
77,78,2252243,2252243,173422711
78,79,14819405,14819405,1155913590
79,80,1861907,1861907,147090653
80,81,3499592,3499592,279967360
81,82,5122337,5122337,414909297
82,83,30147587,30147587,2472102134
83,84,51500093,51500093,4274507719
84,85,13220382,13220382,1110512088
85,86,7345320,7345320,624352200
86,87,16814557,16814557,1446051902
87,88,6234849,6234849,542431863
88,89,13436547,13436547,1182416136
89,90,9686465,9686465,862095385
90,91,57192945,57192945,5147365050
91,92,10710645,10710645,974668695
92,93,15623659,15623659,1437376628
93,94,19178545,19178545,1783604685
94,95,40169887,40169887,3775969378
95,96,14189681,14189681,1348019695
96,97,21810357,21810357,2093794272
97,98,20376644,20376644,1976534468
98,99,25472058,25472058,2496261684
99,100,22781073,22781073,2255326227
100,101,17822343,17822343,1782234300
101,102,18633883,18633883,1882022183
102,103,49575026,49575026,5056652652
103,104,10043983,10043983,1034530249
104,105,11604950,11604950,1206914800
105,106,8435408,8435408,885717840
106,107,8404972,8404972,890927032
107,108,8239216,8239216,881596112
108,109,12246701,12246701,1322643708
109,110,7111164,7111164,775116876
110,111,8074733,8074733,888220630
111,112,28806392,28806392,3197509512
112,113,18752533,18752533,2100283696
113,114,13262618,13262618,1498675834
114,115,24545546,24545546,2798192244
115,116,43836724,43836724,5041223260
116,117,13015450,13015450,1509792200
117,118,6480994,6480994,758276298
118,119,9303771,9303771,1097844978
119,120,5658232,5658232,673329608
120,121,4590478,4590478,550857360
121,122,3097176,3097176,374758296
122,123,25445277,25445277,3104323794
123,124,9107557,9107557,1120229511
124,125,6411591,6411591,795037284
