bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
1,2,576854111,576854111,60571624533
2,3,455955879,911911758,98628498854
3,4,134285763,402857289,57577972774
4,5,112318719,449274876,82694067956
5,6,98094032,490470160,95205332633
6,7,101375955,608255730,121425177435
7,8,55896928,391278496,106975911890
8,9,53599931,428799448,122092404642
9,10,42198515,379786635,111177697305
10,11,43220478,432204780,124394612603
11,12,29222905,321451955,101673894501
12,13,36183049,434196588,118572249262
13,14,21970314,285614082,98529093334
14,15,22052281,308731934,107371202210
15,16,20140849,302112735,100363808692
16,17,17684446,282951136,101237303379
17,18,13895374,236221358,83099084018
18,19,15862712,285528816,95992009064
19,20,10777965,204781335,73444375759
20,21,12152170,243043400,84499117938
21,22,10462215,219706515,79269788963
22,23,9527080,209595760,79944498547
23,24,7989428,183756844,70784144940
24,25,9875334,237008016,83698657545
25,26,7424362,185609050,70598869016
26,27,6783195,176363070,67273148146
27,28,6379793,172254411,65772634036
28,29,6199720,173592160,67944562244
29,30,5452387,158119223,63878638858
30,31,6241221,187236630,69955441822
31,32,4798238,148745378,63539812413
32,33,4845701,155062432,64651159811
33,34,4473173,147614709,61006442133
34,35,4111301,139784234,59440200376
35,36,3931407,137599245,57757877856
36,37,4270835,153750060,62525438122
37,38,3330239,123218843,54089522909
38,39,3272245,124345310,55240401919
39,40,3122455,121775745,53934130722
40,41,3277504,131100160,60604084641
41,42,2798649,114744609,53939245210
42,43,3078827,129310734,57230579015
43,44,2594285,111554255,52913133419
44,45,2668906,117431864,55668501842
45,46,2643863,118973835,56855449616
46,47,2443859,112417514,54725438627
47,48,2262252,106325844,51515923668
48,49,2512673,120608304,56042666905
49,50,2148649,105283801,52263253061
50,51,2184019,109200950,52583564927
51,52,1984004,101184204,48819007435
52,53,1959215,101879180,50221118386
53,54,1817217,96312501,47552858652
54,55,1946281,105099174,51697971479
55,56,1778006,97790330,47029474119
56,57,1774057,99347192,48852766834
57,58,1643935,93704295,46090705842
58,59,1624031,94193798,47815137067
59,60,1529046,90213714,45368252238
60,61,1687962,101277720,48217855946
61,62,1507126,91934686,45482212927
62,63,1444704,89571648,45379241622
63,64,1442935,90904905,47228105088
64,65,1466480,93854720,51148069839
65,66,1353325,87966125,45876197711
66,67,1359555,89730630,44756285979
67,68,1228088,82281896,41911931051
68,69,1221077,83033236,42376135695
69,70,1175143,81084867,41827993705
70,71,1192666,83486620,42716771045
71,72,1125684,79923564,41862255689
72,73,1185252,85338144,43170782158
73,74,1074967,78472591,40454313874
74,75,1062095,78595030,41213213260
75,76,1067638,80072850,42938635216
76,77,1028124,78137424,41130400471
77,78,1007522,77579194,41899092038
78,79,1035119,80739282,43709341275
79,80,972023,76789817,42721511755
80,81,967908,77432640,40285135003
81,82,934642,75706002,40794244993
82,83,895688,73446416,39139554878
83,84,877970,72871510,39258301786
84,85,926474,77823816,41639923509
85,86,868267,73802695,40355725514
86,87,826824,71106864,38401761350
87,88,812647,70700289,38875137935
88,89,813851,71618888,39048274443
89,90,777900,69233100,37512808491
90,91,822063,73985670,38456396371
91,92,754468,68656588,36763283521
92,93,742199,68282308,36260081948
93,94,739944,68814792,38505366528
94,95,716740,67373560,37017517903
95,96,709654,67417130,36413809936
96,97,736361,70690656,37435908024
97,98,673147,65295259,35088067734
98,99,669666,65627268,34823910648
99,100,655564,64900836,34541348483
100,101,658507,65850700,34712011717
101,102,623311,62954411,33341288931
102,103,633219,64588338,33999759826
103,104,604655,62279465,33231659395
104,105,612433,63693032,33639847669
105,106,607050,63740250,33438987725
106,107,587420,62266520,33225052400
107,108,570802,61075814,32740252570
108,109,588510,63559080,33508452249
109,110,554071,60393739,32129163213
110,111,571017,62811870,34578107877
111,112,542738,60243918,32615146120
112,113,553829,62028848,33290450954
113,114,524132,59226916,32068851910
114,115,536440,61154160,32445818404
115,116,513496,59052040,31563306080
116,117,516803,59949148,33372899804
117,118,494842,57896514,31395091433
118,119,486663,57426234,31358552834
119,120,476001,56644119,31139575130
120,121,619223,74306760,44509962944
121,122,466949,56500829,30720945121
122,123,461018,56244196,30816461877
123,124,452566,55665618,30493819616
124,125,451223,55951652,30975719718
125,126,443932,55491500,30545293534
126,127,458962,57829212,31924571824
127,128,429005,54483635,30383973309
128,129,435551,55750528,31820448356
129,130,419979,54177291,30623362338
130,131,424389,55170570,31081907457
131,132,409615,53659565,30249250899
