bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
64,65,150304053,150304053,9619459392
65,66,27056,27056,1758640
66,67,9656220,9656220,637310520
67,68,19465,19465,1304155
68,69,104930668,104930668,7135285424
69,70,4024127,4024127,277664763
70,71,77906006,77906006,5453420420
71,72,657598,657598,46689458
72,73,408554,408554,29415888
73,74,55197,55197,4029381
74,75,19091594,19091594,1412777956
75,76,297898,297898,22342350
76,77,228114,228114,17336664
77,78,131681,131681,10139437
78,79,10533501,10533501,821613078
79,80,155108,155108,12253532
80,81,105543,105543,8443440
81,82,772303,772303,62556543
82,83,18696773,18696773,1533135386
83,84,38641729,38641729,3207263507
84,85,130502,130502,10962168
85,86,24457,24457,2078845
86,87,405609,405609,34882374
87,88,22718,22718,1976466
88,89,3212392,3212392,282690496
89,90,208418,208418,18549202
90,91,42769353,42769353,3849241770
91,92,140746,140746,12807886
92,93,654083,654083,60175636
93,94,251916,251916,23428188
94,95,5928219,5928219,557252586
95,96,335890,335890,31909550
96,97,219462,219462,21068352
97,98,1291097,1291097,125236409
98,99,1198233,1198233,117426834
99,100,2823456,2823456,279522144
100,101,492394,492394,49239400
101,102,261014,261014,26362414
102,103,1042023,1042023,106286346
103,104,650933,650933,67046099
104,105,891762,891762,92743248
105,106,56793,56793,5963265
106,107,749024,749024,79396544
107,108,442159,442159,47311013
108,109,465399,465399,50263092
109,110,608186,608186,66292274
110,111,359151,359151,39506610
111,112,1308933,1308933,145291563
112,113,60473,60473,6772976
113,114,149339,149339,16875307
114,115,87062,87062,9925068
115,116,981789,981789,112905735
116,117,526355,526355,61057180
117,118,624585,624585,73076445
118,119,1755725,1755725,207175550
119,120,1748263,1748263,208043297
120,121,116029,116029,13923480
121,122,148878,148878,18014238
122,123,138368,138368,16880896
123,124,1168265,1168265,143696595
124,125,3247148,3247148,402646352
125,126,139958,139958,17494750
126,127,182876,182876,23042376
127,128,945078,945078,120024906
128,129,24299841,48450452,3110379648
129,130,558026,586928,71985354
130,131,1838491,3017780,239003830
131,132,950105,1234372,124463755
132,133,4431771,8428011,584993772
133,134,520596,1005584,69239268
134,135,3634264,7171598,486991376
135,136,445330,481961,60119550
136,137,33677100,66985721,4580085600
137,138,1645018,2380277,225367466
138,139,2411001,3463843,332718138
139,140,853174,1038300,118591186
140,141,172601769,345108465,24164247660
141,142,2119570,4115514,298859370
142,143,2077310,3938706,294978020
143,144,293110,387671,41914730
144,145,504172,850063,72600768
145,146,138313,239692,20055385
146,147,1206499,1669029,176148854
147,148,278398,378299,40924506
148,149,26179184,47962358,3874519232
149,150,1283038,1564884,191172662
150,151,4172284,7847807,625842600
151,152,670458,966670,101239158
152,153,1031214,1641776,156744528
153,154,3087858,6156332,472442274
154,155,10633603,21143332,1637574862
155,156,696263,1205509,107920765
156,157,8358896,16692929,1303987776
157,158,203774,386187,31992518
158,159,474916,771291,75036728
159,160,5364214,7136236,852910026
160,161,10779807,21233865,1724769120
161,162,482649,943807,77706489
162,163,439608,776880,71216496
163,164,1092464,2072561,178071632
164,165,8875555,17424310,1455591020
165,166,451390,783683,74479350
166,167,3905555,7712173,648322130
167,168,1201868,2365864,200711956
168,169,1448453,2505674,243340104
169,170,534277,980424,90292813
170,171,245193,309104,41682810
171,172,3493182,6848180,597334122
172,173,825061,1631156,141910492
173,174,331767,628560,57395691
174,175,338559,640567,58909266
175,176,1467898,2780396,256882150
176,177,1623174,3229191,285678624
177,178,1166034,2304059,206388018
178,179,258160,497024,45952480
179,180,886613,1459869,158703727
180,181,4576102,9092960,823698360
181,182,504449,992727,91305269
182,183,275153,499803,50077846
183,184,2122943,4237597,388498569
184,185,489123,938296,89998632
185,186,883750,1759073,163493750
186,187,485749,936192,90349314
187,188,974301,1897208,182194287
188,189,1834315,3641758,344851220
189,190,913691,1774008,172687599
190,191,320985,577429,60987150
191,192,1114283,1443154,212828053
192,193,10195955,30370992,1957623360
193,194,574940,1133506,110963420
194,195,863837,2293124,167584378
195,196,635179,1256107,123859905
196,197,1822543,4169038,357218428
197,198,4653970,9413360,916832090
198,199,23274815,59698510,4608413370
199,200,446156,907584,88785044
200,201,954641,1931408,190928200
201,202,455293,1147255,91513893
202,203,619156,1531080,125069512
203,204,304910,598435,61896730
204,205,12714405,34843233,2593738620
205,206,1386055,2741656,284141275
206,207,3280718,9728682,675827908
207,208,1308033,1790135,270762831
208,209,511525,1248443,106397200
209,210,739726,1693549,154602734
210,211,9462158,27596788,1987053180
211,212,619351,1117841,130683061
212,213,4398451,8966487,932471612
213,214,206034,395545,43885242
214,215,477719,1226642,102231866
215,216,417708,891759,89807220
216,217,602258,1658040,130087728
217,218,2489046,6856027,540122982
218,219,4801669,14285206,1046763842
219,220,916327,1713437,200675613
220,221,1451536,2942458,319337920
221,222,293913,664340,64954773
222,223,2899868,8361987,643770696
223,224,1724427,4219261,384547221
224,225,121516,313530,27219584
225,226,370637,878194,83393325
226,227,198612,540841,44886312
227,228,485137,1178789,110126099
228,229,834629,2110404,190295412
229,230,842136,2069504,192849144
230,231,756116,2046156,173906680
231,232,986810,2068281,227953110
232,233,280859,616471,65159288
233,234,274150,639220,63876950
234,235,7291254,21774315,1706153436
235,236,505854,1324854,118875690
236,237,354740,795377,83718640
237,238,267595,601199,63420015
238,239,752268,1555255,179039784
239,240,844813,2327170,201910307
240,241,145609,370181,34946160
241,242,1557048,4545036,375248568
242,243,144349,336614,34932458
243,244,281974,724829,68519682
244,245,416090,948483,101525960
245,246,345279,933709,84593355
246,247,2535352,7289906,623696592
247,248,2077640,5015626,513177080
248,249,760908,1581212,188705184
249,250,1911512,5560071,475966488
250,251,248300,408177,62075000
251,252,266429,732684,66873679
252,253,210242,534721,52980984
253,254,175941,508518,44513073
254,255,421127,872666,106966258
255,256,264609,731553,67475295
256,257,3927187,15498114,1005359872
257,258,227664,569412,58509648
258,259,535241,1736275,138092178
259,260,273280,576881,70779520
260,261,1163029,2788730,302387540
261,262,85484,227231,22311324
262,263,2799155,10791605,733378610
263,264,181859,467467,47828917
264,265,1398284,4845350,369146976
265,266,507848,1516559,134579720
266,267,961571,3437702,255777886
267,268,365851,1276752,97682217
268,269,1464394,5540523,392457592
269,270,443191,1462106,119218379
270,271,1922289,5638482,519018030
271,272,792023,2114511,214638233
272,273,5852838,23150218,1591971936
273,274,304363,825658,83091099
274,275,867334,3238332,237649516
275,276,158568,386731,43606200
276,277,600989,2002455,165872964
277,278,266603,818106,73849031
278,279,3740725,13720312,1039921550
279,280,170946,527161,47693934
280,281,4568774,18015860,1279256720
281,282,482397,1282733,135553557
282,283,4241953,12758245,1196230746
283,284,387842,872884,109759286
284,285,1029439,3784172,292360676
285,286,335890,1217811,95728650
286,287,734872,2540273,210173392
287,288,719843,2514451,206594941
288,289,1687635,6565159,486038880
289,290,1237002,3668684,357493578
290,291,277156,963934,80375240
291,292,379891,937223,110548281
292,293,266752,832163,77891584
293,294,198575,665359,58182475
294,295,280340,777746,82419960
295,296,153779,479526,45364805
296,297,3525767,13599489,1043627032
297,298,1704529,5128387,506245113
298,299,202832,564516,60443936
299,300,329416,977263,98495384
300,301,361865,1205375,108559500
301,302,164455,464653,49500955
302,303,591315,1546905,178577130
303,304,652866,1965443,197818398
304,305,576756,2100431,175333824
305,306,172859,439724,52721995
306,307,747283,2601465,228668598
307,308,282199,893934,86635093
308,309,345509,1085877,106416772
309,310,258520,852347,79882680
310,311,671713,2343312,208231030
311,312,689940,2393016,214571340
312,313,2031038,7710176,633683856
313,314,294197,797167,92083661
314,315,316280,891335,99311920
315,316,442748,1313831,139465620
316,317,411710,1477831,130100360
317,318,149605,452669,47424785
318,319,613493,1624916,195090774
319,320,786858,2477369,251007702
320,321,5746148,18070336,1838767360
321,322,227364,784204,72983844
322,323,248473,869778,80008306
323,324,173094,558060,55909362
324,325,375811,1320262,121762764
325,326,277980,917665,90343500
326,327,551626,2352641,179830076
327,328,150856,487263,49329912
328,329,1685257,6384093,552764296
329,330,238610,842045,78502690
330,331,1475032,6993717,486760560
331,332,210117,592266,69548727
332,333,963585,4054320,319910220
333,334,598208,1872876,199203264
334,335,357027,1295671,119247018
335,336,411358,1038173,137804930
336,337,401067,1410067,134758512
337,338,128664,398489,43359768
338,339,272730,1147032,92182740
339,340,85850,261676,29103150
340,341,2496593,11324314,848841620
341,342,105273,305346,35898093
342,343,570229,2227084,195018318
343,344,205536,709023,70498848
344,345,368511,1404248,126767784
345,346,199195,611733,68722275
346,347,2380874,11153556,823782404
347,348,233559,486058,81044973
348,349,1441868,6929476,501770064
349,350,169165,601344,59038585
350,351,1535041,7089335,537264350
351,352,232057,834299,81452007
352,353,1212455,4782882,426784160
353,354,307101,1165420,108406653
354,355,558565,2369844,197732010
355,356,215608,778026,76540840
356,357,242249,769372,86240644
357,358,215510,734745,76937070
358,359,435748,1678575,155997784
359,360,140733,454551,50523147
360,361,712995,2670132,256678200
361,362,211636,748591,76400596
362,363,194892,648654,70550904
363,364,175150,657006,63579450
364,365,234502,938330,85358728
365,366,305878,1165705,111645470
366,367,649328,1542008,237654048
367,368,241029,715677,88457643
368,369,249784,737862,91920512
369,370,125591,396849,46343079
370,371,737909,3169538,273026330
371,372,221487,815854,82171677
372,373,452408,1627766,168295776
373,374,138929,493601,51820517
374,375,1169004,5337886,437207496
375,376,394830,1266843,148061250
376,377,554480,2029991,208484480
377,378,272479,916421,102724583
378,379,277402,967265,104857956
379,380,361903,1315435,137161237
380,381,559810,2291655,212727800
381,382,359543,1190884,136985883
382,383,292320,1063899,111666240
383,384,245577,647053,94055991
384,385,2865899,16122468,1100505216
385,386,225838,860117,86947630
386,387,290062,1112551,111963932
387,388,443136,1558769,171493632
388,389,1370024,5749770,531569312
389,390,249774,1017174,97162086
390,391,1417755,6488674,552924450
391,392,159222,554215,62255802
392,393,431535,1842750,169161720
393,394,333374,1297867,131015982
394,395,585138,2340682,230544372
395,396,108467,380139,42844465
396,397,5361450,30479372,2123134200
397,398,248325,1039010,98585025
398,399,497690,2483294,198080620
399,400,18464229,37999455,7367227371
400,401,295679,1293430,118271600
401,402,233306,934040,93555706
402,403,482284,2452733,193878168
403,404,178649,626578,71995547
404,405,1159975,6434926,468629900
405,406,212700,779576,86143500
406,407,184018,654615,74711308
407,408,203781,638070,82938867
408,409,3956819,22101704,1614382152
409,410,140541,412581,57481269
410,411,981675,4511546,402486750
411,412,350924,1498775,144229764
412,413,337019,1525109,138851828
413,414,252008,896730,104079304
414,415,886035,4349042,366818490
415,416,487120,1881486,202154800
416,417,619578,2800560,257744448
417,418,3437941,7064581,1433621397
418,419,465121,1745353,194420578
419,420,600333,2155669,251539527
420,421,2719265,14235293,1142091300
421,422,219149,690530,92261729
422,423,323010,1149424,136310220
423,424,226334,762894,95739282
424,425,4540234,5322066,1925059216
425,426,193768,814749,82351400
426,427,515518,2407075,219610668
427,428,174199,669553,74382973
428,429,1011287,5479114,432830836
429,430,126779,442495,54388191
430,431,258632,1016163,111211760
431,432,536436,1555008,231203916
432,433,230253,960196,99469296
433,434,251520,918535,108908160
434,435,503733,2237954,218620122
435,436,316482,869255,137669670
436,437,1284962,4789539,560243432
437,438,705804,2846267,308436348
438,439,2597493,14667154,1137701934
439,440,358978,1303410,157591342
440,441,4277366,5430934,1882041040
441,442,193686,581092,85415526
442,443,182980,654339,80877160
443,444,172242,662154,76303206
444,445,1403855,7979960,623311620
445,446,2692418,13186491,1198126010
446,447,332804,1297749,148430584
447,448,358734,923823,160354098
448,449,539554,3343792,241720192
449,450,143868,564704,64596732
450,451,928937,4468883,418021650
451,452,260009,1112690,117264059
452,453,520643,1188290,235330636
453,454,221149,916666,100180497
454,455,301259,1380930,136771586
455,456,229140,941729,104258700
456,457,2372866,3347187,1082026896
457,458,194346,745755,88816122
458,459,1369150,6859720,627070700
459,460,410066,1890094,188220294
460,461,663084,2978339,305018640
461,462,276871,789387,127637531
462,463,1160625,6106836,536208750
463,464,252479,831746,116897777
464,465,316835,1124901,147011440
465,466,283090,1010880,131636850
466,467,495173,2276375,230750618
467,468,208842,788086,97529214
468,469,977350,3294877,457399800
469,470,335710,935074,157447990
470,471,526402,2478626,247408940
471,472,394427,1048856,185775117
472,473,2352655,3212811,1110453160
473,474,792901,1355368,375042173
474,475,581841,1939237,275792634
475,476,343966,1009029,163383850
476,477,1200761,6357289,571562236
477,478,543904,1987426,259442208
478,479,477958,2145997,228463924
479,480,808849,2457638,387438671
480,481,662679,2515101,318085920
481,482,304887,809290,146650647
482,483,580737,2797263,279915234
483,484,356644,1644885,172259052
484,485,458543,1894102,221934812
485,486,203797,774978,98841545
486,487,283837,1048154,137944782
487,488,270817,984527,131887879
488,489,1520897,2846876,742197736
489,490,210892,794382,103126188
490,491,2398123,10270468,1175080270
