bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
1,2,1252568314,1252568314,215689380481
2,3,240315477,480630954,86864317258
3,4,84387720,253163160,45012846301
4,5,46460455,185841820,35174214562
5,6,24471955,122359775,22627951970
6,7,18059023,108354138,19945782419
7,8,9888414,69218898,13873840869
8,9,7668194,61345552,12565804318
9,10,5148528,46336752,9984442587
10,11,4863763,48637630,10784076212
11,12,3594465,39539115,10022898659
12,13,3231581,38778972,9568019268
13,14,2637926,34293038,9448777200
14,15,2604577,36464078,10402271338
15,16,2160494,32407410,9169349194
16,17,1886911,30190576,8456003678
17,18,1505889,25600113,7549858399
18,19,1408142,25346556,7257546358
19,20,1125656,21387464,6689626331
20,21,1155082,23101640,6610171032
21,22,920362,19327602,5776615540
22,23,798157,17559454,5531804572
23,24,675143,15528289,4912557488
24,25,668685,16048440,4856696618
25,26,572035,14300875,4396680988
26,27,551752,14345552,4439123838
27,28,488730,13195710,3994951932
28,29,536443,15020404,4375406508
29,30,526228,15260612,4242569227
30,31,441414,13242420,3921140822
31,32,361734,11213754,3550843125
32,33,397580,12722560,3735902138
33,34,318411,10507563,3301771863
34,35,314550,10694700,3289919035
35,36,330164,11555740,3331172034
36,37,406591,14637276,3524215372
37,38,275838,10206006,3094293655
38,39,256041,9729558,3108525459
39,40,240251,9369789,2979545761
40,41,324504,12980160,3372393244
41,42,215299,8827259,2946384022
42,43,307296,12906432,4067966526
43,44,239398,10294114,3111461555
44,45,208110,9156840,2961302855
45,46,192479,8661555,2867636238
46,47,167984,7727264,2784276705
47,48,161604,7595388,2861865728
48,49,156612,7517376,2815843411
49,50,143337,7023513,2754026498
50,51,155000,7750000,2884341865
51,52,134614,6865314,2734005860
52,53,132819,6906588,2795301354
53,54,123989,6571417,2647489401
54,55,123234,6654636,2689937188
55,56,122556,6740580,2709442640
56,57,162783,9115848,3397631124
57,58,116464,6638448,2513986325
58,59,114426,6636708,2492469077
59,60,110402,6513718,2435113033
60,61,125599,7535940,2533220750
61,62,103797,6331617,2320803306
62,63,92225,5717950,2225801145
63,64,87586,5517918,2177110214
64,65,108128,6920192,2332647673
65,66,92966,6042790,2197280081
66,67,85763,5660358,2157804570
67,68,77539,5195113,2053788086
68,69,77593,5276324,2076178195
69,70,74256,5123664,2014254488
70,71,101253,7087710,2635413216
71,72,72287,5132377,2104084783
72,73,76172,5484384,2144502225
73,74,68792,5021816,2018852411
74,75,67757,5014018,1987864467
75,76,66818,5011350,1912780582
76,77,64200,4879200,1920687720
77,78,63082,4857314,1926658317
78,79,63243,4932954,1938617488
79,80,58847,4648913,1868131042
80,81,60668,4853440,1911324876
81,82,56484,4575204,1881264749
82,83,56224,4610368,1923071606
83,84,53500,4440500,1860999507
