bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
64,65,19561125,19561125,1251912000
65,66,38136,38136,2478840
66,67,19248645,19248645,1270410570
67,68,8602092,8602092,576340164
68,69,12353682,12353682,840050376
69,70,528336,528336,36455184
70,71,1242466,1242466,86972620
71,72,298465,298465,21191015
72,73,2174285,2174285,156548520
73,74,1370564,1370564,100051172
74,75,2046006,2046006,151404444
75,76,2570709,2570709,192803175
76,77,1869163,1869163,142056388
77,78,2118202,2118202,163101554
78,79,1699006,1699006,132522468
79,80,1646092,1646092,130041268
80,81,3360143,3360143,268811440
81,82,4345453,4345453,351981693
82,83,10660061,10660061,874125002
83,84,12853065,12853065,1066804395
84,85,13078163,13078163,1098565692
85,86,7293987,7293987,619988895
86,87,9289402,9289402,798888572
87,88,6195563,6195563,539013981
88,89,10198660,10198660,897482080
89,90,9465302,9465302,842411878
90,91,13003795,13003795,1170341550
91,92,10562121,10562121,961153011
92,93,14811105,14811105,1362621660
93,94,18918898,18918898,1759457514
94,95,32542263,32542263,3058972722
95,96,13849865,13849865,1315737175
96,97,21574031,21574031,2071106976
97,98,19079411,19079411,1850702867
98,99,23899091,23899091,2342110918
99,100,19743170,19743170,1954573830
100,101,17326185,17326185,1732618500
101,102,18227492,18227492,1840976692
102,103,27162387,27162387,2770563474
103,104,9376483,9376483,965777749
104,105,10669624,10669624,1109640896
105,106,8368284,8368284,878669820
106,107,6915158,6915158,733006748
107,108,7791327,7791327,833671989
108,109,11329569,11329569,1223593452
109,110,6481239,6481239,706455051
110,111,7249322,7249322,797425420
111,112,27488251,27488251,3051195861
112,113,18647810,18647810,2088554720
113,114,12993655,12993655,1468283015
114,115,24004861,24004861,2736554154
115,116,42838351,42838351,4926410365
116,117,12452151,12452151,1444449516
117,118,5816386,5816386,680517162
118,119,7455379,7455379,879734722
119,120,3884817,3884817,462293223
120,121,4408693,4408693,529043160
121,122,2887390,2887390,349374190
122,123,5298545,5298545,646422490
123,124,7921467,7921467,974340441
